train_device,test_device,fraction,epochs,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,5,1129.17,19.15
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,5,912.65,16.14
RedmiNote10ProBlue,RedmiNote9,0.1,5,1405.52,32.13
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,941.7,18.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,759.93,15.49
RedmiNote10ProBlue,RedmiNote9,0.1,10,1348.06,34.02
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,719.05,17.26
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,683.78,16.0
RedmiNote10ProBlue,RedmiNote9,0.1,20,1301.37,36.24
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,622.76,14.91
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,665.02,15.11
RedmiNote10ProBlue,RedmiNote9,0.1,30,1236.35,33.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,582.83,13.57
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,675.47,14.72
RedmiNote10ProBlue,RedmiNote9,0.1,40,1200.84,32.15
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,559.44,12.32
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,670.72,13.92
RedmiNote10ProBlue,RedmiNote9,0.1,50,1164.25,29.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,100,542.93,11.33
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,100,680.75,13.45
RedmiNote10ProBlue,RedmiNote9,0.1,100,1139.83,27.22
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,200,539.25,11.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,200,676.85,13.3
RedmiNote10ProBlue,RedmiNote9,0.1,200,1147.74,26.91
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,5,983.05,18.48
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,5,788.6,15.52
RedmiNote10ProBlue,RedmiNote9,0.2,5,1353.84,33.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,739.75,17.09
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,677.99,15.63
RedmiNote10ProBlue,RedmiNote9,0.2,10,1292.09,35.6
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,590.74,13.6
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,669.82,14.64
RedmiNote10ProBlue,RedmiNote9,0.2,20,1202.82,32.28
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,552.8,11.79
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,666.87,13.51
RedmiNote10ProBlue,RedmiNote9,0.2,30,1153.08,28.62
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,542.0,11.31
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,669.09,13.26
RedmiNote10ProBlue,RedmiNote9,0.2,40,1145.77,27.41
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,562.37,12.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,665.52,13.72
RedmiNote10ProBlue,RedmiNote9,0.2,50,1159.4,29.37
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,100,543.29,11.35
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,100,664.94,13.21
RedmiNote10ProBlue,RedmiNote9,0.2,100,1146.3,27.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,200,541.17,11.3
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,200,665.96,13.21
RedmiNote10ProBlue,RedmiNote9,0.2,200,1144.68,27.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,5,863.41,18.12
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,5,715.22,15.51
RedmiNote10ProBlue,RedmiNote9,0.3,5,1328.56,34.89
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,651.99,16.04
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,678.4,15.86
RedmiNote10ProBlue,RedmiNote9,0.3,10,1266.17,35.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,558.52,12.08
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,661.2,13.62
RedmiNote10ProBlue,RedmiNote9,0.3,20,1154.06,29.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,545.74,11.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,662.52,13.27
RedmiNote10ProBlue,RedmiNote9,0.3,30,1140.21,27.64
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,540.11,11.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,664.86,13.18
RedmiNote10ProBlue,RedmiNote9,0.3,40,1134.48,26.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,50,543.13,11.36
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,669.21,13.32
RedmiNote10ProBlue,RedmiNote9,0.3,50,1136.96,27.36
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,100,542.41,11.25
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,100,664.46,13.19
RedmiNote10ProBlue,RedmiNote9,0.3,100,1135.34,27.08
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,200,540.35,11.23
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,200,667.27,13.22
RedmiNote10ProBlue,RedmiNote9,0.3,200,1136.05,26.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,5,770.61,17.71
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,5,687.64,15.86
RedmiNote10ProBlue,RedmiNote9,0.4,5,1310.92,35.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,606.08,14.47
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,674.47,15.22
RedmiNote10ProBlue,RedmiNote9,0.4,10,1223.75,33.65
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,546.93,11.61
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,663.49,13.35
RedmiNote10ProBlue,RedmiNote9,0.4,20,1147.01,28.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,538.56,11.24
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,664.08,13.19
RedmiNote10ProBlue,RedmiNote9,0.4,30,1139.65,27.25
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,532.72,11.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,661.56,13.05
RedmiNote10ProBlue,RedmiNote9,0.4,40,1139.0,26.64
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,539.3,11.23
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,669.88,13.28
RedmiNote10ProBlue,RedmiNote9,0.4,50,1136.93,27.1
