timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_300000_ms,cluster0_576000_ms,cluster0_768000_ms,cluster0_1017600_ms,cluster0_1248000_ms,cluster0_1324800_ms,cluster0_1497600_ms,cluster0_1612800_ms,cluster0_1708800_ms,cluster0_1804800_ms,cluster1_300000_ms,cluster1_652800_ms,cluster1_806400_ms,cluster1_979200_ms,cluster1_1094400_ms,cluster1_1209600_ms,cluster1_1324800_ms,cluster1_1555200_ms,cluster1_1708800_ms,cluster1_1843200_ms,cluster1_1939200_ms,cluster1_2169600_ms,cluster1_2208000_ms,cluster1_2304000_ms,brightness_pct,cpu_load_pct
2025-05-26 01:08:52,2000,1472.779,3.97,3254040,68,37.0,64.2,1,1.0,1504,1475,1485,1488,1539,1539,1491,1481,0,1440,0,0,40,0,0,0,0,540,0,1470,20,0,0,0,0,0,0,0,0,0,0,530,,
2025-05-26 01:43:07,2000,1060.791,3.849,2876760,61,33.4,82.5,1,0.047,501,495,495,492,540,540,486,492,0,370,0,0,40,0,0,20,0,1590,0,410,0,10,0,0,20,0,0,0,0,0,0,1580,,
2025-05-26 02:18:28,2000,1348.572,3.745,2405160,50,38.7,74.8,1,1.0,496,509,499,507,545,545,487,488,0,420,60,0,20,0,0,20,0,1510,0,440,10,0,60,0,20,0,0,0,1510,0,0,0,,
2025-05-25 23:41:53,2000,1018.677,4.167,4244400,91,33.3,82.2,1,0.217,502,504,500,509,556,584,496,495,0,460,0,0,20,0,0,20,0,1520,0,480,0,0,0,0,20,20,0,10,0,0,0,1490,,
2025-05-26 01:41:38,2000,256.042,3.849,2923920,61,33.4,54.9,1,0.047,989,1001,988,993,1927,1954,972,991,0,960,10,0,60,0,20,10,0,980,0,970,0,0,0,0,50,20,0,0,0,30,0,980,,
2025-05-25 23:09:22,2000,127.258,4.394,4574520,100,28.6,31.1,1,4e-05,2000,2000,2000,2000,0,0,1218,2000,0,2020,20,0,0,0,20,10,0,0,0,2030,10,0,0,0,20,0,0,0,0,0,0,0,,
2025-05-26 01:57:52,2000,1033.936,3.781,2688120,56,37.2,82.9,1,0.217,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,,
2025-05-25 23:32:02,2000,921.936,4.189,4338720,94,32.1,83.2,1,0.047,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,,
2025-05-25 23:16:21,2000,942.993,4.237,4527360,98,28.2,78.0,1,4e-05,499,500,474,500,530,539,496,494,0,460,0,0,20,0,0,0,0,1550,0,490,0,0,0,0,10,0,0,0,0,10,0,1520,,
2025-05-25 23:51:58,2000,430.908,4.121,4150080,88,34.0,58.8,1,0.531,492,529,548,566,531,529,427,742,0,460,10,0,90,0,0,40,0,1480,0,490,20,20,0,0,30,0,0,0,0,0,0,1510,,
2025-05-26 00:16:53,2000,145.874,4.105,3819960,81,34.0,35.9,1,4e-05,2000,2000,2000,2000,0,0,801,1797,0,2010,20,0,20,0,0,30,0,10,0,2060,0,20,0,0,0,0,0,0,0,0,0,0,,
