data_percent,epochs,new_device_MAE,new_device_MAPE,../RedmiNote10ProPink/power_log_cleaned_.csv_MAE,../RedmiNote10ProPink/power_log_cleaned_.csv_MAPE,../RedmiNote9/power_log_cleaned_.csv_MAE,../RedmiNote9/power_log_cleaned_.csv_MAPE
0.0,0,1535.3766,0.21837622,1426.786,0.20677227,18122.307,3.6985633
0.1,5,1531.2216,0.21806867,1422.2385,0.20633195,18161.133,3.7059698
0.1,10,1526.9138,0.21776101,1417.4941,0.20587724,18201.154,3.7136207
0.1,20,1518.6752,0.21715985,1408.5242,0.2050163,18279.322,3.7285426
0.1,30,1510.1715,0.21655007,1399.1897,0.20412512,18359.06,3.743763
0.1,40,1501.6449,0.21594098,1389.8663,0.20324108,18438.637,3.7589478
0.1,50,1493.4312,0.21534859,1380.9619,0.202402,18517.396,3.7739816
0.2,5,1527.0156,0.21775742,1417.6078,0.20588242,18200.99,3.7135532
0.2,10,1518.4572,0.21713634,1408.2085,0.20497805,18280.938,3.728796
0.2,20,1502.2352,0.21593738,1390.5503,0.20328048,18434.94,3.7580984
0.2,30,1485.2493,0.21472055,1371.9113,0.20151551,18595.049,3.788603
0.2,40,1468.9525,0.21356998,1354.1884,0.19986574,18750.543,3.8182294
0.2,50,1451.8851,0.2123687,1335.5013,0.19812495,18913.645,3.8492637
0.3,5,1524.0884,0.21755205,1414.4011,0.2055784,18228.13,3.7187467
0.3,10,1512.6788,0.21672876,1401.9127,0.20438564,18335.525,3.7392356
0.3,20,1490.4565,0.21513061,1377.6119,0.2020819,18546.598,3.7794676
0.3,30,1467.6582,0.21355174,1352.7517,0.1997884,18761.766,3.8205395
0.3,40,1445.4088,0.21202086,1328.368,0.19754106,18977.293,3.8616085
0.3,50,1423.714,0.21055222,1304.5927,0.19537647,19189.076,3.9019556
0.4,5,1519.8708,0.21724701,1409.7657,0.20513262,18267.793,3.726311
0.4,10,1504.3549,0.21612953,1392.769,0.20351127,18413.348,3.7540603
0.4,20,1473.6003,0.2139762,1359.1715,0.20038092,18701.682,3.8090944
0.4,30,1442.8262,0.2118701,1325.4237,0.19727595,18997.176,3.8654242
0.4,40,1412.7186,0.20985897,1292.2098,0.1942542,19292.775,3.9217315
0.4,50,1383.1396,0.20798497,1259.4932,0.19136798,19586.154,3.9777339
0.5,5,1517.0398,0.21704398,1406.6771,0.20483974,18294.58,3.7314312
0.5,10,1498.6421,0.21573819,1386.5188,0.20293401,18466.86,3.764321
0.5,20,1462.3143,0.21318157,1346.9115,0.19924906,18813.234,3.8303742
0.5,30,1426.0618,0.210757,1307.0878,0.19562986,19164.346,3.8973637
0.5,40,1390.5431,0.20847993,1267.7047,0.19211987,19515.475,3.9643276
0.5,50,1355.8484,0.20632857,1229.4076,0.18879905,19864.99,4.0310163
0.6,5,1512.7764,0.21674429,1401.993,0.20439638,18333.146,3.7387955
0.6,10,1490.1584,0.21514064,1377.2546,0.2020663,18547.049,3.779595
0.6,20,1445.5037,0.21206994,1328.4017,0.19756463,18972.938,3.8608394
0.6,30,1401.5643,0.20921408,1279.8319,0.1932019,19401.947,3.942665
0.6,40,1358.649,0.20652632,1232.3933,0.18905896,19833.47,4.024959
0.6,50,1317.1871,0.20403153,1186.6228,0.18515432,20262.504,4.1067224
0.7,5,1509.9812,0.21654339,1398.9448,0.2041072,18361.055,3.7441208
0.7,10,1484.6177,0.21474633,1371.2374,0.20150496,18599.406,3.7895715
0.7,20,1434.1558,0.21132636,1315.9307,0.19644406,19083.9,3.8820162
0.7,30,1384.7352,0.20816475,1261.1688,0.19156815,19569.17,3.974575
0.7,40,1336.9701,0.20523505,1208.257,0.18699911,20056.361,4.0674434
0.7,50,1290.1194,0.20247386,1156.8344,0.18269278,20545.752,4.160736
0.8,5,1505.8131,0.21625058,1394.3859,0.2036789,18399.531,3.7514799
0.8,10,1476.1006,0.21415424,1362.0062,0.20065813,18681.426,3.8052628
0.8,20,1418.2327,0.21028751,1298.4779,0.19488558,19240.012,3.911835
0.8,30,1361.1434,0.20670341,1235.4039,0.18935992,19808.293,4.0202756
0.8,40,1305.8339,0.20336112,1174.3932,0.18416205,20379.709,4.1291857
0.8,50,1251.8099,0.20028166,1115.4823,0.17938049,20953.148,4.2385235
0.9,5,1501.752,0.2159571,1389.9227,0.20325297,18439.033,3.75904
0.9,10,1467.6548,0.213587,1352.6884,0.1998055,18760.494,3.8204558
0.9,20,1401.6681,0.20924732,1279.9451,0.19323768,19403.465,3.9431925
0.9,30,1337.8657,0.20530358,1209.6263,0.18715845,20047.248,4.0660954
0.9,40,1275.0879,0.20164576,1140.7058,0.1814385,20699.654,4.190615
0.9,50,1215.087,0.19828045,1075.8324,0.17624892,21348.732,4.314415
1.0,5,1498.6528,0.21573876,1386.5536,0.20293766,18467.135,3.764354
1.0,10,1461.9691,0.21318385,1346.5173,0.19922823,18814.316,3.8306067
1.0,20,1390.7721,0.20852524,1267.9882,0.19216223,19509.63,3.9632154
1.0,30,1321.6864,0.20428197,1191.6702,0.1855795,20217.059,4.0980654
1.0,40,1254.5015,0.2004043,1118.2509,0.17955543,20920.578,4.2321897
1.0,50,1190.1776,0.1969181,1048.5945,0.17408368,21628.982,4.367197
