timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_300000_ms,cluster0_576000_ms,cluster0_768000_ms,cluster0_1017600_ms,cluster0_1248000_ms,cluster0_1324800_ms,cluster0_1497600_ms,cluster0_1612800_ms,cluster0_1708800_ms,cluster0_1804800_ms,cluster1_300000_ms,cluster1_652800_ms,cluster1_806400_ms,cluster1_979200_ms,cluster1_1094400_ms,cluster1_1209600_ms,cluster1_1324800_ms,cluster1_1555200_ms,cluster1_1708800_ms,cluster1_1843200_ms,cluster1_1939200_ms,cluster1_2169600_ms,cluster1_2208000_ms,cluster1_2304000_ms,brightness_pct,cpu_load_pct
2025-05-25 23:29:18,2000,148.62,4.427,4911000,100,28.5,32.3,1,4e-05,1294,1515,1490,1860,0,0,1828,2000,0,1950,30,0,60,0,0,40,0,0,0,2040,10,30,0,0,10,0,0,0,0,0,0,0,0.0,0.0
2025-05-25 23:29:20,2000,126.648,4.427,4911000,100,28.5,33.0,1,4e-05,1692,2000,1970,2000,0,0,2000,2000,0,1680,50,0,60,0,0,50,0,240,0,2040,0,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-25 23:29:22,2000,179.138,4.427,4911000,100,28.5,31.4,1,4e-05,2000,2000,1987,2000,0,0,1853,1950,0,2050,0,0,20,0,0,20,0,0,0,2050,0,0,0,20,20,0,0,0,0,0,0,0,0.0,0.0
2025-05-25 23:29:24,2000,182.19,4.427,4911000,100,28.5,31.7,1,4e-05,2000,2000,1987,2000,0,0,2000,2000,0,2010,20,0,20,0,0,40,0,0,0,2080,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:25,2000,1242.066,4.12,4272570,85,38.8,74.1,1,0.217,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,20,2000,0,0,0,0.0,0.0
2025-05-26 00:29:27,2000,957.947,4.12,4272570,85,38.8,74.1,1,0.217,1,11,11,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,10,0,20,20,1980,0,0,0,0.0,0.0
2025-05-26 00:29:29,2000,290.832,4.12,4272570,85,38.8,55.0,1,0.217,802,812,811,828,106,113,795,814,0,780,0,0,0,0,0,0,0,1250,0,760,0,0,0,0,0,0,0,0,1270,0,0,0,0.0,0.0
2025-05-26 00:29:31,2000,285.644,4.12,4272570,85,38.8,49.8,1,0.217,2000,2000,2000,2000,0,0,2000,1964,0,1960,40,0,60,0,0,20,0,0,0,1970,60,0,0,0,20,30,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:33,2000,331.726,4.12,4272570,85,38.8,47.5,1,0.217,2000,2000,1989,2000,0,0,1115,2000,0,1870,190,0,20,0,0,0,0,0,0,2010,30,10,0,0,20,0,20,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:35,2000,334.778,4.12,4272570,85,38.8,46.2,1,0.217,2000,2000,2000,2000,0,0,2000,1934,0,2060,0,0,20,0,0,20,0,0,0,2050,0,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0
