timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_300000_ms,cluster0_576000_ms,cluster0_768000_ms,cluster0_1017600_ms,cluster0_1248000_ms,cluster0_1324800_ms,cluster0_1497600_ms,cluster0_1612800_ms,cluster0_1708800_ms,cluster0_1804800_ms,cluster1_300000_ms,cluster1_652800_ms,cluster1_806400_ms,cluster1_979200_ms,cluster1_1094400_ms,cluster1_1209600_ms,cluster1_1324800_ms,cluster1_1555200_ms,cluster1_1708800_ms,cluster1_1843200_ms,cluster1_1939200_ms,cluster1_2169600_ms,cluster1_2208000_ms,cluster1_2304000_ms,brightness_pct,cpu_load_pct
2025-05-26 00:12:48,2000,1084.595,4.252,4518120,90,34.0,69.6,1,0.531,506,506,495,494,540,528,490,490,0,400,0,0,40,0,0,0,0,1580,0,420,0,0,0,0,20,0,10,0,0,10,0,1560,,
2025-05-26 02:05:42,2000,1052.857,3.921,3290370,67,33.8,78.0,1,0.047,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,,
2025-05-26 00:02:42,2000,277.099,4.212,4616340,93,31.9,51.7,1,0.217,575,585,539,576,491,504,833,583,0,350,150,0,40,0,20,40,0,1490,0,550,10,20,0,0,20,0,0,0,0,10,0,1480,,
2025-05-26 02:17:11,2000,1170.96,3.885,3192150,65,34.9,75.4,1,0.217,500,499,497,498,540,527,483,492,0,480,0,0,20,0,0,0,0,1520,0,480,20,0,0,0,0,0,0,0,0,10,0,1520,,
2025-05-25 23:30:10,2000,186.767,4.427,4911000,100,28.5,30.7,1,4e-05,2000,2000,2000,2000,0,0,2000,2000,0,1990,50,0,20,0,20,0,0,10,0,2070,0,0,30,0,0,0,0,0,0,0,0,0,,
2025-05-26 01:20:45,2000,1192.932,4.107,3781470,77,34.4,73.1,1,0.531,501,507,491,511,568,531,494,493,0,300,0,0,220,0,0,0,20,1500,0,320,0,0,0,0,20,20,0,10,0,0,0,1670,,
2025-05-25 23:52:51,2000,975.952,4.221,4714560,95,31.1,77.6,1,0.047,3,2,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,,
2025-05-25 23:37:10,2000,772.4,4.294,4861890,99,27.7,63.7,1,4e-05,506,498,504,500,529,538,484,495,0,300,0,0,210,0,0,0,0,1510,0,310,10,0,0,0,10,0,0,0,0,0,0,1680,,
2025-05-26 01:34:51,2000,1243.287,4.021,3585030,72,37.8,71.5,1,1.0,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,,
2025-05-26 01:36:41,2000,1206.665,3.942,3535920,71,38.9,74.7,1,1.0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,,
2025-05-26 02:37:48,2000,1263.123,3.884,2897490,59,38.4,66.0,1,1.0,983,991,989,988,1021,1043,985,982,0,950,0,0,30,0,0,20,0,1030,0,980,0,0,0,0,20,20,0,0,1010,0,0,0,,
2025-05-26 02:24:19,2000,444.946,3.952,3093930,63,36.3,44.9,1,0.531,1560,1566,1547,1556,1553,1515,1873,1611,0,1350,0,0,40,0,0,40,0,670,0,1370,0,10,0,0,30,40,0,0,0,0,0,650,,
2025-05-26 02:12:42,2000,1097.107,3.973,3241260,66,35.3,65.0,1,0.217,986,1004,1009,994,1048,1040,977,985,0,850,0,0,170,0,0,20,0,980,0,920,10,0,0,0,20,0,0,0,0,0,0,1080,,
2025-05-26 01:30:35,2000,545.959,4.051,3634140,74,36.1,48.5,1,1.0,1063,1659,1051,1028,1068,1067,1093,1581,0,990,0,0,40,20,0,20,20,1000,0,1050,0,0,0,20,20,10,0,0,0,0,0,990,,
2025-05-26 02:01:48,2000,998.535,3.968,3339480,68,32.4,67.0,1,0.047,982,987,999,999,1036,1029,995,993,0,960,20,0,10,0,20,10,0,1000,0,990,0,0,0,0,10,0,0,0,0,0,0,1020,,
2025-05-26 00:56:09,2000,976.258,4.189,4076130,82,32.1,61.5,1,0.047,1004,1003,991,998,1039,1037,993,994,0,940,10,0,10,0,0,0,0,1060,0,970,0,0,0,0,0,0,0,0,0,0,0,1050,,
