train_device,test_device,fraction,epochs,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote10ProBlue,0.1,5,1175.52,18.93
RedmiNote9,RedmiNote10ProPink,0.1,5,967.36,16.32
RedmiNote9,RedmiNote9,0.1,5,1388.58,30.74
RedmiNote9,RedmiNote10ProBlue,0.1,10,1021.6,17.62
RedmiNote9,RedmiNote10ProPink,0.1,10,834.43,15.2
RedmiNote9,RedmiNote9,0.1,10,1305.72,30.88
RedmiNote9,RedmiNote10ProBlue,0.1,20,826.6,15.15
RedmiNote9,RedmiNote10ProPink,0.1,20,715.46,13.94
RedmiNote9,RedmiNote9,0.1,20,1176.87,28.88
RedmiNote9,RedmiNote10ProBlue,0.1,30,759.93,14.07
RedmiNote9,RedmiNote10ProPink,0.1,30,693.81,13.78
RedmiNote9,RedmiNote9,0.1,30,1077.87,25.66
RedmiNote9,RedmiNote10ProBlue,0.1,40,740.38,14.06
RedmiNote9,RedmiNote10ProPink,0.1,40,696.8,14.26
RedmiNote9,RedmiNote9,0.1,40,1000.99,23.12
RedmiNote9,RedmiNote10ProBlue,0.1,50,721.88,14.4
RedmiNote9,RedmiNote10ProPink,0.1,50,706.01,14.93
RedmiNote9,RedmiNote9,0.1,50,946.14,22.34
RedmiNote9,RedmiNote10ProBlue,0.1,100,800.05,15.6
RedmiNote9,RedmiNote10ProPink,0.1,100,713.89,15.34
RedmiNote9,RedmiNote9,0.1,100,896.72,21.09
RedmiNote9,RedmiNote10ProBlue,0.1,200,817.98,15.79
RedmiNote9,RedmiNote10ProPink,0.1,200,727.35,15.46
RedmiNote9,RedmiNote9,0.1,200,895.33,21.29
RedmiNote9,RedmiNote10ProBlue,0.2,5,1046.49,18.16
RedmiNote9,RedmiNote10ProPink,0.2,5,851.57,15.57
RedmiNote9,RedmiNote9,0.2,5,1325.02,31.57
RedmiNote9,RedmiNote10ProBlue,0.2,10,826.62,16.06
RedmiNote9,RedmiNote10ProPink,0.2,10,713.67,14.57
RedmiNote9,RedmiNote9,0.2,10,1208.55,31.17
RedmiNote9,RedmiNote10ProBlue,0.2,20,715.66,14.09
RedmiNote9,RedmiNote10ProPink,0.2,20,697.61,14.36
RedmiNote9,RedmiNote9,0.2,20,1029.19,25.52
RedmiNote9,RedmiNote10ProBlue,0.2,30,734.52,14.69
RedmiNote9,RedmiNote10ProPink,0.2,30,723.99,15.2
RedmiNote9,RedmiNote9,0.2,30,939.2,22.64
RedmiNote9,RedmiNote10ProBlue,0.2,40,781.69,15.41
RedmiNote9,RedmiNote10ProPink,0.2,40,717.69,15.27
RedmiNote9,RedmiNote9,0.2,40,898.38,21.64
RedmiNote9,RedmiNote10ProBlue,0.2,50,792.41,15.65
RedmiNote9,RedmiNote10ProPink,0.2,50,722.01,15.41
RedmiNote9,RedmiNote9,0.2,50,890.52,21.63
RedmiNote9,RedmiNote10ProBlue,0.2,100,788.87,15.58
RedmiNote9,RedmiNote10ProPink,0.2,100,714.05,15.26
RedmiNote9,RedmiNote9,0.2,100,893.77,21.67
RedmiNote9,RedmiNote10ProBlue,0.2,200,766.99,15.18
RedmiNote9,RedmiNote10ProPink,0.2,200,729.07,15.4
RedmiNote9,RedmiNote9,0.2,200,911.89,21.91
RedmiNote9,RedmiNote10ProBlue,0.3,5,930.55,17.21
RedmiNote9,RedmiNote10ProPink,0.3,5,767.85,15.02
RedmiNote9,RedmiNote9,0.3,5,1270.69,31.76
RedmiNote9,RedmiNote10ProBlue,0.3,10,754.33,14.71
RedmiNote9,RedmiNote10ProPink,0.3,10,702.99,14.41
RedmiNote9,RedmiNote9,0.3,10,1123.45,28.63
RedmiNote9,RedmiNote10ProBlue,0.3,20,742.45,14.5
RedmiNote9,RedmiNote10ProPink,0.3,20,726.79,15.07
RedmiNote9,RedmiNote9,0.3,20,950.15,22.28
RedmiNote9,RedmiNote10ProBlue,0.3,30,787.91,15.34
RedmiNote9,RedmiNote10ProPink,0.3,30,726.16,15.36
RedmiNote9,RedmiNote9,0.3,30,896.54,21.11
RedmiNote9,RedmiNote10ProBlue,0.3,40,825.86,15.73
