timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_500000_ms,cluster0_774000_ms,cluster0_850000_ms,cluster0_900000_ms,cluster0_950000_ms,cluster0_999000_ms,cluster0_1050000_ms,cluster0_1100000_ms,cluster0_1175000_ms,cluster0_1275000_ms,cluster0_1325000_ms,cluster0_1375000_ms,cluster0_1450000_ms,cluster0_1500000_ms,cluster0_1625000_ms,cluster0_1800000_ms,cluster1_850000_ms,cluster1_909000_ms,cluster1_998000_ms,cluster1_1087000_ms,cluster1_1176000_ms,cluster1_1295000_ms,cluster1_1354000_ms,cluster1_1443000_ms,cluster1_1532000_ms,cluster1_1621000_ms,cluster1_1710000_ms,cluster1_1800000_ms,cluster1_1850000_ms,cluster1_1900000_ms,cluster1_1950000_ms,cluster1_2000000_ms,brightness_pct,cpu_load_pct
2025-05-25 23:29:32,2000,123.8,4.307,5020000,100,30.3,-1,1,4e-05,1868,1975,1937,2000,1975,2000,2000,2000,1850,70,80,30,20,0,0,0,0,0,0,0,0,0,0,20,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:34,2000,126.4,4.307,5020000,100,30.3,-1,1,4e-05,1909,1921,2000,1918,2000,2000,1521,2000,1850,110,30,0,0,0,0,30,0,0,0,0,0,0,30,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:36,2000,131.3,4.307,5020000,100,30.3,-1,1,4e-05,1881,1835,1906,1917,1846,2000,2000,2000,1720,210,20,0,40,0,20,0,20,0,40,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:38,2000,157.4,4.307,5020000,100,30.3,-1,1,4e-05,1995,1969,2000,2000,2000,2000,1463,1535,1950,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:40,2000,126.1,4.307,5020000,100,30.3,-1,1,4e-05,1977,1987,1918,2000,2000,1986,0,0,1850,100,90,0,0,0,0,0,50,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:42,2000,122.2,4.307,5020000,100,30.3,-1,1,4e-05,1962,1942,2000,1648,2000,2000,2000,2000,1620,130,20,20,20,0,20,30,20,20,60,20,0,20,20,50,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:44,2000,131.3,4.307,5020000,100,30.3,-1,1,4e-05,1998,1942,2000,2000,2000,2000,494,495,1840,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:47,2000,137.0,4.307,5020000,100,30.3,-1,1,4e-05,1997,1951,1930,2000,2000,2000,2000,0,1900,100,30,0,20,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:49,2000,141.5,4.307,5020000,100,30.3,-1,1,4e-05,1991,1983,2000,2000,2000,2000,2000,2000,1920,80,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:51,2000,138.8,4.307,5020000,100,30.3,-1,1,4e-05,1971,1982,2000,2000,2000,2000,1023,1024,1990,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:53,2000,123.0,4.307,5020000,100,30.3,-1,1,4e-05,1981,1969,2000,2000,2000,2000,0,0,1970,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:55,2000,123.8,4.307,5020000,100,30.3,-1,1,4e-05,1950,1972,1986,2000,2000,2000,2000,2000,1550,320,70,0,0,0,50,0,0,0,30,0,0,50,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:57,2000,120.0,4.307,5020000,100,30.3,-1,1,4e-05,1945,1960,1997,2000,2000,2000,2000,2000,1750,140,0,0,0,0,0,0,40,20,20,90,0,0,0,10,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:29:59,2000,149.0,4.307,5020000,100,30.3,-1,1,4e-05,1984,1987,2000,2000,2000,2000,1982,0,1880,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:01,2000,122.2,4.307,5020000,100,30.3,-1,1,4e-05,1948,1946,1886,1954,2000,2000,2000,2000,1540,350,20,0,0,0,0,0,0,120,0,0,0,0,40,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:03,2000,144.2,4.307,5020000,100,30.3,-1,1,4e-05,1966,1995,2000,2000,2000,2000,1089,1088,1970,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:05,2000,123.0,4.307,5020000,100,30.3,-1,1,4e-05,1951,2000,1983,2000,2000,2000,1940,1940,1770,190,0,90,0,0,0,0,0,0,0,0,0,10,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:07,2000,132.4,4.307,5020000,100,30.3,-1,1,4e-05,1972,1994,2000,2000,2000,2000,2000,2000,1940,70,0,0,0,0,0,0,0,0,60,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:09,2000,127.2,4.307,5020000,100,30.3,-1,1,4e-05,1982,1988,2000,2000,2000,2000,0,0,1950,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:11,2000,141.1,4.307,5020000,100,30.3,-1,1,4e-05,1968,1990,2000,2000,2000,2000,2000,2000,1930,110,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:13,2000,162.7,4.307,5020000,100,30.3,-1,1,4e-05,1992,1961,2000,2000,2000,2000,843,843,1980,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:15,2000,146.5,4.307,5020000,100,30.3,-1,1,4e-05,1970,1977,1905,2000,2000,2000,1988,0,1880,100,30,60,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:18,2000,122.2,4.307,5020000,100,30.3,-1,1,4e-05,1915,1945,2000,1897,2000,2000,2000,2000,1770,120,70,0,0,90,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:20,2000,125.7,4.307,5020000,100,30.3,-1,1,4e-05,2000,1966,2000,1985,2000,1714,1781,1781,1970,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:22,2000,130.2,4.307,5020000,100,30.3,-1,1,4e-05,1963,1964,2000,2000,2000,2000,2000,2000,1940,100,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:24,2000,127.2,4.307,5020000,100,30.3,-1,1,4e-05,1984,1958,1968,2000,2000,2000,2000,2000,1880,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:26,2000,144.2,4.307,5020000,100,30.3,-1,1,4e-05,1947,2000,1983,2000,2000,2000,1019,1279,1970,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:28,2000,160.8,4.307,5020000,100,30.3,-1,1,4e-05,1962,1979,2000,2000,2000,2000,1124,0,1990,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:30,2000,125.7,4.307,5020000,100,30.3,-1,1,4e-05,1981,1926,1909,2000,1920,1859,2000,2000,1760,100,190,0,0,0,0,0,0,0,0,0,0,0,20,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:32,2000,124.9,4.307,5020000,100,30.3,-1,1,4e-05,1912,1971,2000,2000,2000,2000,2000,1536,1770,160,20,40,0,40,0,0,0,0,0,0,0,0,0,10,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:34,2000,127.2,4.307,5020000,100,30.3,-1,1,4e-05,1972,2000,2000,2000,2000,2000,1432,0,1990,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:36,2000,136.6,4.307,5020000,100,30.3,-1,1,4e-05,1999,2000,2000,1985,2000,2000,2000,2000,1840,130,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:38,2000,143.4,4.307,5020000,100,30.3,-1,1,4e-05,2000,2000,1982,2000,2000,2000,1531,1532,1970,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2025-05-25 23:30:40,2000,122.2,4.307,5020000,100,30.3,-1,1,4e-05,1983,1980,2000,1968,2000,2000,0,0,1970,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
