timestamp,sample_ms,batt_current_mA,batt_voltage_V,batt_charge_uAh,batt_soc_pct,batt_temp_C,cpu_temp_C,display_on,display_brightness_lin,core0_idle_ms,core1_idle_ms,core2_idle_ms,core3_idle_ms,core4_idle_ms,core5_idle_ms,core6_idle_ms,core7_idle_ms,cluster0_500000_ms,cluster0_774000_ms,cluster0_850000_ms,cluster0_900000_ms,cluster0_950000_ms,cluster0_999000_ms,cluster0_1050000_ms,cluster0_1100000_ms,cluster0_1175000_ms,cluster0_1275000_ms,cluster0_1325000_ms,cluster0_1375000_ms,cluster0_1450000_ms,cluster0_1500000_ms,cluster0_1625000_ms,cluster0_1800000_ms,cluster1_850000_ms,cluster1_909000_ms,cluster1_998000_ms,cluster1_1087000_ms,cluster1_1176000_ms,cluster1_1295000_ms,cluster1_1354000_ms,cluster1_1443000_ms,cluster1_1532000_ms,cluster1_1621000_ms,cluster1_1710000_ms,cluster1_1800000_ms,cluster1_1850000_ms,cluster1_1900000_ms,cluster1_1950000_ms,cluster1_2000000_ms,brightness_pct,cpu_load_pct
2025-05-25 23:29:22,2000,285.4,4.307,5020000,100,30.3,-1,1,0.217,1059,1072,1156,1247,1412,1399,1426,1570,140,430,170,100,40,60,20,30,50,60,60,150,110,20,110,540,940,50,80,70,130,80,110,40,110,180,80,60,70,60,20,60,0.0,0.0
2025-05-25 23:29:24,2000,268.4,4.307,5020000,100,30.3,-1,1,0.217,1501,1557,1685,1695,1805,1826,2000,1097,630,1080,90,50,0,50,30,40,60,0,0,0,0,20,20,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-25 23:29:26,2000,351.5,4.307,5020000,100,30.3,-1,1,0.217,1796,1932,1805,1823,2000,2000,2000,2000,1690,180,60,30,0,50,0,0,0,40,0,0,0,0,20,0,2040,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:28,2000,395.3,4.026,4166600,83,36.4,-1,1,0.217,299,289,15,21,23,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,60,0,20,20,610,1330,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:30,2000,312.6,4.026,4166600,83,36.4,-1,1,0.217,1964,1986,2000,2000,2000,1915,1795,1918,2020,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1910,0,0,0,60,0,0,20,30,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:32,2000,266.2,4.026,4166600,83,36.4,-1,1,0.217,1992,1976,2000,2000,2000,2000,2000,0,1960,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:34,2000,263.5,4.026,4166600,83,36.4,-1,1,0.217,1968,1991,2000,1925,1632,2000,1294,2000,1960,80,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:36,2000,265.0,4.026,4166600,83,36.4,-1,1,0.217,1976,1957,2000,2000,2000,1241,0,0,1950,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:38,2000,264.7,4.026,4166600,83,36.4,-1,1,0.217,1957,1981,2000,2000,2000,2000,0,0,1970,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:40,2000,282.0,4.026,4166600,83,36.4,-1,1,0.217,1978,1999,2000,2000,2000,2000,2000,2000,1980,70,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:42,2000,299.0,4.026,4166600,83,36.4,-1,1,0.217,1974,1972,2000,2000,2000,2000,0,0,1950,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:45,2000,265.8,4.026,4166600,83,36.4,-1,1,0.217,1973,1867,1981,2000,2000,1944,2000,2000,1770,50,60,70,0,40,50,0,0,0,0,0,0,0,0,20,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:47,2000,276.4,4.095,4166600,83,36.2,-1,1,0.217,1929,1998,2000,2000,2000,608,620,620,1960,50,0,60,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:49,2000,259.3,4.095,4166600,83,36.2,-1,1,0.217,1948,2000,2000,2000,2000,2000,0,0,1970,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:51,2000,265.8,4.079,4166600,83,36.1,-1,1,0.217,1968,1965,2000,2000,2000,2000,2000,2000,1930,90,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:53,2000,268.8,4.079,4166600,83,36.1,-1,1,0.217,1970,2000,1994,2000,2000,2000,1740,1741,1920,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:55,2000,293.4,4.079,4166600,83,36.1,-1,1,0.217,2000,1969,1989,2000,2000,2000,2000,2000,1890,100,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:57,2000,271.8,4.079,4166600,83,36.1,-1,1,0.217,1966,2000,2000,2000,2000,2000,919,920,1880,170,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:29:59,2000,260.5,4.079,4166600,83,36.1,-1,1,0.217,1977,1971,2000,1922,2000,2000,0,0,1980,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:30:01,2000,260.8,4.079,4166600,83,36.1,-1,1,0.217,1856,1922,1992,2000,2000,2000,2000,2000,1760,130,40,0,50,0,0,0,0,0,0,0,0,0,0,100,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:30:03,2000,305.1,4.079,4166600,83,36.1,-1,1,0.217,1965,1986,2000,2000,2000,2000,1333,1337,1970,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:30:05,2000,256.4,4.079,4166600,83,36.1,-1,1,0.217,1976,1986,1985,2000,2000,2000,0,0,2010,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025-05-26 00:30:07,2000,280.9,4.079,4166600,83,36.1,-1,1,0.217,1988,2000,2000,2000,1237,2000,2000,2000,1850,120,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
