train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct,source_file
RedmiNote10ProBlue,RedmiNote9,0.1,10,cpu,1,1354.28,37.7,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,cpu,1,982.61,21.01,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,cpu,1,767.63,16.61,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.1,20,cpu,1,1375.2,40.43,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,cpu,1,956.6,22.33,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,cpu,1,766.47,18.15,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.1,30,cpu,1,1384.11,42.11,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,cpu,1,939.58,23.19,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,cpu,1,770.76,19.3,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.1,40,cpu,1,1393.11,43.41,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,cpu,1,927.87,23.8,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,cpu,1,777.49,20.21,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.1,50,cpu,1,1397.18,44.13,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,cpu,1,921.63,24.12,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,cpu,1,782.86,20.74,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.2,10,cpu,1,1351.87,39.25,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,cpu,1,961.53,21.8,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,cpu,1,763.25,17.63,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.2,20,cpu,1,1365.17,42.06,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,cpu,1,932.36,23.12,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,cpu,1,771.74,19.53,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.2,30,cpu,1,1378.85,43.89,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,cpu,1,918.37,23.96,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,cpu,1,787.26,20.88,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.2,40,cpu,1,1392.2,45.1,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,cpu,1,910.61,24.39,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,cpu,1,800.29,21.69,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.2,50,cpu,1,1410.95,46.21,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,cpu,1,906.18,24.88,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,cpu,1,810.56,22.37,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.3,10,cpu,1,1373.73,41.33,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,cpu,1,933.31,22.69,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,cpu,1,767.01,18.99,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.3,20,cpu,1,1406.68,45.01,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,cpu,1,907.29,24.51,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,cpu,1,794.13,21.62,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.3,30,cpu,1,1400.85,44.69,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,cpu,1,907.99,24.31,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,cpu,1,791.07,21.4,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.3,40,cpu,1,1409.17,45.72,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,cpu,1,901.62,24.77,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,cpu,1,803.48,22.2,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.3,50,cpu,1,1406.67,45.64,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,50,cpu,1,900.55,24.68,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,cpu,1,803.12,22.15,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,10,cpu,1,1385.08,42.93,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,cpu,1,919.84,23.53,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,cpu,1,775.71,20.15,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,20,cpu,1,1396.77,44.24,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,cpu,1,910.85,24.16,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,cpu,1,786.23,21.09,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,30,cpu,1,1423.23,46.51,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,cpu,1,899.69,25.17,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,cpu,1,811.24,22.71,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,40,cpu,1,1425.78,46.98,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,cpu,1,896.46,25.33,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,cpu,1,819.36,23.11,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.4,50,cpu,1,1408.64,45.43,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,cpu,1,904.52,24.7,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,cpu,1,798.75,21.96,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,10,cpu,1,1357.78,41.25,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,10,cpu,1,874.2,22.41,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,10,cpu,1,770.41,20.02,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,20,cpu,1,1380.27,43.49,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,20,cpu,1,861.63,23.35,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,cpu,1,796.38,21.65,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,30,cpu,1,1358.73,41.5,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,cpu,1,871.3,22.44,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,cpu,1,773.16,20.19,results_RN10Blue_adv_cpu_recalc_scalers.csv
RedmiNote10ProBlue,RedmiNote9,0.5,40,cpu,1,1383.3,43.56,results_RN10Blue_adv_cpu_recalc_scalers.csv
