train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,cpu,0,1482.65,34.37
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,cpu,0,1262.72,21.56
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,cpu,0,1025.07,18.28
RedmiNote10ProBlue,RedmiNote9,0.1,20,cpu,0,1488.52,37.64
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,cpu,0,1216.13,23.27
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,cpu,0,971.49,19.65
RedmiNote10ProBlue,RedmiNote9,0.1,30,cpu,0,1499.34,40.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,cpu,0,1182.75,24.91
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,cpu,0,943.85,21.22
RedmiNote10ProBlue,RedmiNote9,0.1,40,cpu,0,1503.26,42.72
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,cpu,0,1158.47,26.15
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,cpu,0,932.41,22.59
RedmiNote10ProBlue,RedmiNote9,0.1,50,cpu,0,1521.77,45.3
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,cpu,0,1135.83,27.59
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,cpu,0,928.9,24.22
RedmiNote10ProBlue,RedmiNote9,0.2,10,cpu,0,1478.49,36.86
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,cpu,0,1225.05,22.78
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,cpu,0,983.76,19.34
RedmiNote10ProBlue,RedmiNote9,0.2,20,cpu,0,1483.87,41.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,cpu,0,1168.36,25.2
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,cpu,0,938.8,21.78
RedmiNote10ProBlue,RedmiNote9,0.2,30,cpu,0,1499.88,45.46
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,cpu,0,1123.7,27.35
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,cpu,0,927.99,24.39
RedmiNote10ProBlue,RedmiNote9,0.2,40,cpu,0,1516.48,48.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,cpu,0,1097.92,28.9
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,cpu,0,937.93,26.48
RedmiNote10ProBlue,RedmiNote9,0.2,50,cpu,0,1534.93,50.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,cpu,0,1083.31,30.07
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,cpu,0,956.96,28.19
RedmiNote10ProBlue,RedmiNote9,0.3,10,cpu,0,1491.39,39.21
