train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,cpu,1,1354.28,37.7
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,cpu,1,982.61,21.01
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,cpu,1,767.63,16.61
RedmiNote10ProBlue,RedmiNote9,0.1,20,cpu,1,1375.2,40.43
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,cpu,1,956.6,22.33
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,cpu,1,766.47,18.15
RedmiNote10ProBlue,RedmiNote9,0.1,30,cpu,1,1384.11,42.11
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,cpu,1,939.58,23.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,cpu,1,770.76,19.3
RedmiNote10ProBlue,RedmiNote9,0.1,40,cpu,1,1393.11,43.41
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,cpu,1,927.87,23.8
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,cpu,1,777.49,20.21
RedmiNote10ProBlue,RedmiNote9,0.1,50,cpu,1,1397.18,44.13
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,cpu,1,921.63,24.12
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,cpu,1,782.86,20.74
RedmiNote10ProBlue,RedmiNote9,0.2,10,cpu,1,1351.87,39.25
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,cpu,1,961.53,21.8
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,cpu,1,763.25,17.63
RedmiNote10ProBlue,RedmiNote9,0.2,20,cpu,1,1365.17,42.06
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,cpu,1,932.36,23.12
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,cpu,1,771.74,19.53
RedmiNote10ProBlue,RedmiNote9,0.2,30,cpu,1,1378.85,43.89
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,cpu,1,918.37,23.96
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,cpu,1,787.26,20.88
RedmiNote10ProBlue,RedmiNote9,0.2,40,cpu,1,1392.2,45.1
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,cpu,1,910.61,24.39
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,cpu,1,800.29,21.69
RedmiNote10ProBlue,RedmiNote9,0.2,50,cpu,1,1410.95,46.21
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,cpu,1,906.18,24.88
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,cpu,1,810.56,22.37
RedmiNote10ProBlue,RedmiNote9,0.3,10,cpu,1,1373.73,41.33
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,cpu,1,933.31,22.69
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,cpu,1,767.01,18.99
RedmiNote10ProBlue,RedmiNote9,0.3,20,cpu,1,1406.68,45.01
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,cpu,1,907.29,24.51
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,cpu,1,794.13,21.62
RedmiNote10ProBlue,RedmiNote9,0.3,30,cpu,1,1400.85,44.69
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,cpu,1,907.99,24.31
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,cpu,1,791.07,21.4
RedmiNote10ProBlue,RedmiNote9,0.3,40,cpu,1,1409.17,45.72
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,cpu,1,901.62,24.77
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,cpu,1,803.48,22.2
