train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,none,0,1349.01,33.79
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,none,0,946.67,18.36
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,none,0,761.64,15.38
RedmiNote10ProBlue,RedmiNote9,0.1,20,none,0,1301.12,36.21
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,none,0,715.75,17.22
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,none,0,684.37,16.0
RedmiNote10ProBlue,RedmiNote9,0.1,30,none,0,1239.91,33.93
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,none,0,624.45,14.92
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,none,0,665.1,15.05
RedmiNote10ProBlue,RedmiNote9,0.1,40,none,0,1191.55,31.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,none,0,578.28,13.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,none,0,663.37,14.27
RedmiNote10ProBlue,RedmiNote9,0.1,50,none,0,1155.98,29.12
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,none,0,556.42,12.02
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,none,0,657.25,13.51
RedmiNote10ProBlue,RedmiNote9,0.2,10,none,0,1292.51,35.75
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,none,0,736.88,17.11
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,none,0,680.2,15.73
RedmiNote10ProBlue,RedmiNote9,0.2,20,none,0,1201.22,32.18
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,none,0,589.58,13.57
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,none,0,672.87,14.69
RedmiNote10ProBlue,RedmiNote9,0.2,30,none,0,1156.4,28.79
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,none,0,552.58,11.85
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,none,0,660.28,13.44
RedmiNote10ProBlue,RedmiNote9,0.2,40,none,0,1142.57,27.46
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,none,0,544.61,11.35
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,none,0,668.6,13.28
RedmiNote10ProBlue,RedmiNote9,0.2,50,none,0,1137.71,27.01
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,none,0,543.47,11.25
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,none,0,663.63,13.16
RedmiNote10ProBlue,RedmiNote9,0.3,10,none,0,1264.06,35.47
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,none,0,649.19,15.94
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,none,0,679.22,15.85
RedmiNote10ProBlue,RedmiNote9,0.3,20,none,0,1159.39,29.22
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,none,0,556.14,12.05
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,none,0,664.34,13.64
RedmiNote10ProBlue,RedmiNote9,0.3,30,none,0,1139.79,27.65
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,none,0,545.16,11.45
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,none,0,667.99,13.34
RedmiNote10ProBlue,RedmiNote9,0.3,40,none,0,1148.78,28.32
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,none,0,549.93,11.7
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,none,0,659.89,13.36
RedmiNote10ProBlue,RedmiNote9,0.3,50,none,0,1140.52,27.67
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,50,none,0,546.88,11.46
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,none,0,660.83,13.24
RedmiNote10ProBlue,RedmiNote9,0.4,10,none,0,1226.72,33.78
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,none,0,608.18,14.59
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,none,0,678.28,15.34
RedmiNote10ProBlue,RedmiNote9,0.4,20,none,0,1147.16,28.2
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,none,0,546.89,11.62
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,none,0,667.21,13.43
RedmiNote10ProBlue,RedmiNote9,0.4,30,none,0,1137.1,26.9
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,none,0,535.62,11.12
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,none,0,666.19,13.18
RedmiNote10ProBlue,RedmiNote9,0.4,40,none,0,1136.41,26.76
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,none,0,536.25,11.1
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,none,0,663.99,13.13
RedmiNote10ProBlue,RedmiNote9,0.4,50,none,0,1138.4,26.94
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,none,0,537.01,11.15
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,none,0,667.36,13.19
RedmiNote10ProBlue,RedmiNote9,0.5,10,none,0,1174.2,30.93
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,10,none,0,576.68,12.98
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,10,none,0,663.98,14.24
RedmiNote10ProBlue,RedmiNote9,0.5,20,none,0,1137.99,27.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,20,none,0,543.78,11.4
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,none,0,664.04,13.27
RedmiNote10ProBlue,RedmiNote9,0.5,30,none,0,1136.3,26.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,none,0,537.31,11.08
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,none,0,663.54,13.11
RedmiNote10ProBlue,RedmiNote9,0.5,40,none,0,1139.85,26.72
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,40,none,0,535.8,11.05
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,40,none,0,671.04,13.21
RedmiNote10ProBlue,RedmiNote9,0.5,50,none,0,1132.07,26.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,50,none,0,541.38,11.21
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,50,none,0,656.47,13.07
RedmiNote10ProBlue,RedmiNote9,0.6,10,none,0,1163.41,29.61
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,10,none,0,562.32,12.27
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,10,none,0,656.3,13.66
RedmiNote10ProBlue,RedmiNote9,0.6,20,none,0,1137.41,26.52
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,20,none,0,536.91,11.01
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,20,none,0,657.51,12.98
RedmiNote10ProBlue,RedmiNote9,0.6,30,none,0,1142.52,26.13
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,30,none,0,528.4,10.79
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,30,none,0,649.39,12.79
RedmiNote10ProBlue,RedmiNote9,0.6,40,none,0,1150.51,26.23
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,40,none,0,519.87,10.67
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,40,none,0,659.46,12.91
RedmiNote10ProBlue,RedmiNote9,0.6,50,none,0,1155.59,26.32
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,50,none,0,510.69,10.58
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,50,none,0,662.47,12.93
RedmiNote10ProBlue,RedmiNote9,0.7,10,none,0,1149.41,28.53
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,10,none,0,552.35,11.82
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,10,none,0,662.69,13.5
RedmiNote10ProBlue,RedmiNote9,0.7,20,none,0,1141.88,26.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,20,none,0,533.08,11.03
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,20,none,0,671.0,13.2
RedmiNote10ProBlue,RedmiNote9,0.7,30,none,0,1144.84,26.16
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,30,none,0,523.38,10.76
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,30,none,0,661.91,12.98
RedmiNote10ProBlue,RedmiNote9,0.7,40,none,0,1145.88,26.25
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,40,none,0,512.84,10.65
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,40,none,0,665.11,13.02
RedmiNote10ProBlue,RedmiNote9,0.7,50,none,0,1141.1,25.96
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,50,none,0,504.11,10.52
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,50,none,0,663.61,12.99
RedmiNote10ProBlue,RedmiNote9,0.8,10,none,0,1138.97,27.9
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,10,none,0,547.81,11.57
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,10,none,0,660.46,13.3
RedmiNote10ProBlue,RedmiNote9,0.8,20,none,0,1131.74,26.46
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,20,none,0,531.14,10.96
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,20,none,0,656.37,12.98
RedmiNote10ProBlue,RedmiNote9,0.8,30,none,0,1136.43,26.16
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,30,none,0,518.01,10.7
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,30,none,0,650.54,12.83
RedmiNote10ProBlue,RedmiNote9,0.8,40,none,0,1136.17,26.11
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,40,none,0,507.34,10.6
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,40,none,0,653.4,12.88
RedmiNote10ProBlue,RedmiNote9,0.8,50,none,0,1144.44,26.5
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,50,none,0,505.06,10.63
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,50,none,0,663.84,13.04
