train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,none,1,1295.81,36.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,none,1,745.2,17.46
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,none,1,687.1,15.38
RedmiNote10ProBlue,RedmiNote9,0.1,20,none,1,1246.77,34.39
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,none,1,625.59,14.95
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,none,1,681.77,15.01
RedmiNote10ProBlue,RedmiNote9,0.1,30,none,1,1185.66,31.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,none,1,572.36,13.01
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,none,1,676.72,14.23
RedmiNote10ProBlue,RedmiNote9,0.1,40,none,1,1152.34,28.79
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,none,1,551.81,11.98
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,none,1,674.04,13.71
RedmiNote10ProBlue,RedmiNote9,0.1,50,none,1,1141.24,27.61
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,none,1,540.78,11.46
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,none,1,674.11,13.49
RedmiNote10ProBlue,RedmiNote9,0.2,10,none,1,1242.18,34.54
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,none,1,631.95,15.18
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,none,1,684.45,15.17
RedmiNote10ProBlue,RedmiNote9,0.2,20,none,1,1156.89,29.26
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,none,1,558.92,12.25
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,none,1,682.87,13.97
RedmiNote10ProBlue,RedmiNote9,0.2,30,none,1,1143.21,27.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,none,1,541.07,11.45
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,none,1,678.31,13.54
RedmiNote10ProBlue,RedmiNote9,0.2,40,none,1,1154.4,27.29
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,none,1,532.94,11.16
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,none,1,682.15,13.44
