train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,screen,0,1333.48,30.09
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,screen,0,1004.31,17.13
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,screen,0,816.96,14.54
RedmiNote10ProBlue,RedmiNote9,0.1,20,screen,0,1237.3,30.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,screen,0,725.93,14.47
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,screen,0,649.71,12.97
RedmiNote10ProBlue,RedmiNote9,0.1,30,screen,0,1209.91,30.53
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,screen,0,616.18,13.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,screen,0,642.87,13.06
RedmiNote10ProBlue,RedmiNote9,0.1,40,screen,0,1198.26,30.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,screen,0,581.22,12.49
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,screen,0,652.48,13.18
RedmiNote10ProBlue,RedmiNote9,0.1,50,screen,0,1193.69,29.57
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,screen,0,568.76,12.14
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,screen,0,659.81,13.2
RedmiNote10ProBlue,RedmiNote9,0.2,10,screen,0,1245.3,30.27
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,screen,0,773.81,14.83
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,screen,0,666.76,13.07
RedmiNote10ProBlue,RedmiNote9,0.2,20,screen,0,1207.23,30.51
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,screen,0,585.56,12.63
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,screen,0,663.4,13.36
RedmiNote10ProBlue,RedmiNote9,0.2,30,screen,0,1193.19,29.43
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,screen,0,565.78,12.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,screen,0,660.17,13.17
RedmiNote10ProBlue,RedmiNote9,0.2,40,screen,0,1191.56,29.13
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,screen,0,561.91,11.88
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,screen,0,658.99,13.11
RedmiNote10ProBlue,RedmiNote9,0.2,50,screen,0,1188.89,28.63
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,screen,0,555.14,11.66
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,screen,0,661.35,13.09
RedmiNote10ProBlue,RedmiNote9,0.3,10,screen,0,1217.56,30.59
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,screen,0,644.77,13.52
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,screen,0,639.85,12.98
RedmiNote10ProBlue,RedmiNote9,0.3,20,screen,0,1196.24,29.92
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,screen,0,568.32,12.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,screen,0,664.88,13.32
RedmiNote10ProBlue,RedmiNote9,0.3,30,screen,0,1187.15,28.97
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,screen,0,559.39,11.81
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,screen,0,656.67,13.08
RedmiNote10ProBlue,RedmiNote9,0.3,40,screen,0,1192.69,29.51
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,screen,0,564.27,12.01
