train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote9,0.1,10,screen,1,1264.75,33.35
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,screen,1,769.52,16.37
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,screen,1,679.19,13.98
RedmiNote10ProBlue,RedmiNote9,0.1,20,screen,1,1249.27,32.52
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,screen,1,636.77,14.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,screen,1,674.79,13.82
RedmiNote10ProBlue,RedmiNote9,0.1,30,screen,1,1224.34,31.06
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,screen,1,586.51,12.88
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,screen,1,672.0,13.57
RedmiNote10ProBlue,RedmiNote9,0.1,40,screen,1,1210.61,30.07
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,screen,1,564.89,12.28
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,screen,1,671.33,13.44
RedmiNote10ProBlue,RedmiNote9,0.1,50,screen,1,1199.79,29.35
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,screen,1,555.66,11.92
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,screen,1,659.84,13.18
RedmiNote10ProBlue,RedmiNote9,0.2,10,screen,1,1254.28,32.81
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,screen,1,651.35,14.5
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,screen,1,675.24,13.87
RedmiNote10ProBlue,RedmiNote9,0.2,20,screen,1,1215.09,30.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,screen,1,571.24,12.43
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,screen,1,671.75,13.47
RedmiNote10ProBlue,RedmiNote9,0.2,30,screen,1,1201.7,29.26
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,screen,1,553.95,11.84
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,screen,1,665.6,13.24
RedmiNote10ProBlue,RedmiNote9,0.2,40,screen,1,1204.23,28.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,screen,1,548.0,11.68
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,screen,1,675.7,13.34
RedmiNote10ProBlue,RedmiNote9,0.2,50,screen,1,1199.28,28.99
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,screen,1,552.69,11.74
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,screen,1,662.1,13.16
RedmiNote10ProBlue,RedmiNote9,0.3,10,screen,1,1234.58,31.47
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,screen,1,603.49,13.25
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,screen,1,675.3,13.66
RedmiNote10ProBlue,RedmiNote9,0.3,20,screen,1,1204.32,29.59
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,screen,1,557.11,11.98
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,screen,1,665.39,13.29
RedmiNote10ProBlue,RedmiNote9,0.3,30,screen,1,1203.07,29.17
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,screen,1,552.13,11.79
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,screen,1,667.71,13.26
RedmiNote10ProBlue,RedmiNote9,0.3,40,screen,1,1203.07,28.79
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,screen,1,545.7,11.61
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,screen,1,672.23,13.29
RedmiNote10ProBlue,RedmiNote9,0.3,50,screen,1,1198.31,28.99
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,50,screen,1,551.13,11.74
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,screen,1,660.06,13.15
RedmiNote10ProBlue,RedmiNote9,0.4,10,screen,1,1222.65,30.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,screen,1,579.53,12.66
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,screen,1,675.7,13.57
RedmiNote10ProBlue,RedmiNote9,0.4,20,screen,1,1207.26,29.31
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,screen,1,551.05,11.81
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,screen,1,676.49,13.39
RedmiNote10ProBlue,RedmiNote9,0.4,30,screen,1,1199.56,28.74
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,screen,1,546.36,11.59
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,screen,1,663.23,13.15
RedmiNote10ProBlue,RedmiNote9,0.4,40,screen,1,1201.9,28.7
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,screen,1,544.78,11.56
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,screen,1,666.66,13.19
RedmiNote10ProBlue,RedmiNote9,0.4,50,screen,1,1201.66,28.43
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,screen,1,539.93,11.41
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,screen,1,663.88,13.11
RedmiNote10ProBlue,RedmiNote9,0.5,10,screen,1,1217.97,29.43
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,10,screen,1,562.39,12.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,10,screen,1,676.99,13.38
RedmiNote10ProBlue,RedmiNote9,0.5,20,screen,1,1206.86,28.65
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,20,screen,1,547.73,11.57
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,screen,1,668.37,13.19
RedmiNote10ProBlue,RedmiNote9,0.5,30,screen,1,1203.92,28.5
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,screen,1,542.69,11.48
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,screen,1,666.65,13.16
RedmiNote10ProBlue,RedmiNote9,0.5,40,screen,1,1210.01,28.91
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,40,screen,1,549.85,11.66
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,40,screen,1,675.42,13.31
RedmiNote10ProBlue,RedmiNote9,0.5,50,screen,1,1205.51,28.5
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,50,screen,1,545.09,11.49
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,50,screen,1,664.72,13.12
RedmiNote10ProBlue,RedmiNote9,0.6,10,screen,1,1211.87,29.01
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,10,screen,1,555.51,11.78
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,10,screen,1,669.83,13.24
RedmiNote10ProBlue,RedmiNote9,0.6,20,screen,1,1209.67,28.49
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,20,screen,1,545.81,11.49
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,20,screen,1,666.69,13.13
RedmiNote10ProBlue,RedmiNote9,0.6,30,screen,1,1209.41,28.36
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,30,screen,1,539.79,11.39
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,30,screen,1,669.82,13.16
RedmiNote10ProBlue,RedmiNote9,0.6,40,screen,1,1197.94,28.11
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,40,screen,1,535.09,11.27
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,40,screen,1,651.06,12.89
RedmiNote10ProBlue,RedmiNote9,0.6,50,screen,1,1200.97,28.05
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,50,screen,1,526.23,11.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,50,screen,1,659.14,12.99
RedmiNote10ProBlue,RedmiNote9,0.7,10,screen,1,1212.88,28.9
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,10,screen,1,552.94,11.7
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,10,screen,1,672.81,13.26
RedmiNote10ProBlue,RedmiNote9,0.7,20,screen,1,1214.46,28.42
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,20,screen,1,543.48,11.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,20,screen,1,673.63,13.2
RedmiNote10ProBlue,RedmiNote9,0.7,30,screen,1,1206.38,28.3
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,30,screen,1,542.73,11.41
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,30,screen,1,659.64,13.02
RedmiNote10ProBlue,RedmiNote9,0.7,40,screen,1,1198.19,27.97
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,40,screen,1,526.5,11.16
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,40,screen,1,652.92,12.9
RedmiNote10ProBlue,RedmiNote9,0.7,50,screen,1,1211.52,28.26
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,50,screen,1,541.07,11.37
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,50,screen,1,664.66,13.06
RedmiNote10ProBlue,RedmiNote9,0.8,10,screen,1,1207.62,28.76
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,10,screen,1,551.63,11.66
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,10,screen,1,664.59,13.14
RedmiNote10ProBlue,RedmiNote9,0.8,20,screen,1,1198.26,28.39
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,20,screen,1,541.39,11.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,20,screen,1,655.69,13.0
RedmiNote10ProBlue,RedmiNote9,0.8,30,screen,1,1191.84,28.2
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,30,screen,1,532.8,11.3
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,30,screen,1,650.64,12.93
RedmiNote10ProBlue,RedmiNote9,0.8,40,screen,1,1188.5,28.18
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,40,screen,1,525.08,11.22
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,40,screen,1,654.52,12.99
RedmiNote10ProBlue,RedmiNote9,0.8,50,screen,1,1185.55,28.17
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,50,screen,1,511.95,11.1
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,50,screen,1,656.19,13.02
