train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,cpu,0,1469.56,31.47
RedmiNote9,RedmiNote10ProBlue,0.1,10,cpu,0,1330.42,20.64
RedmiNote9,RedmiNote10ProPink,0.1,10,cpu,0,1124.33,18.26
RedmiNote9,RedmiNote9,0.1,20,cpu,0,1459.81,32.68
RedmiNote9,RedmiNote10ProBlue,0.1,20,cpu,0,1309.86,21.07
RedmiNote9,RedmiNote10ProPink,0.1,20,cpu,0,1102.4,18.67
RedmiNote9,RedmiNote9,0.1,30,cpu,0,1451.05,32.68
RedmiNote9,RedmiNote10ProBlue,0.1,30,cpu,0,1323.99,21.32
RedmiNote9,RedmiNote10ProPink,0.1,30,cpu,0,1127.43,19.22
RedmiNote9,RedmiNote9,0.1,40,cpu,0,1440.77,33.28
RedmiNote9,RedmiNote10ProBlue,0.1,40,cpu,0,1330.85,21.92
RedmiNote9,RedmiNote10ProPink,0.1,40,cpu,0,1141.58,20.0
RedmiNote9,RedmiNote9,0.1,50,cpu,0,1435.62,34.51
RedmiNote9,RedmiNote10ProBlue,0.1,50,cpu,0,1308.27,22.42
RedmiNote9,RedmiNote10ProPink,0.1,50,cpu,0,1116.88,20.42
RedmiNote9,RedmiNote9,0.2,10,cpu,0,1455.6,33.8
RedmiNote9,RedmiNote10ProBlue,0.2,10,cpu,0,1286.58,21.53
RedmiNote9,RedmiNote10ProPink,0.2,10,cpu,0,1075.43,18.99
RedmiNote9,RedmiNote9,0.2,20,cpu,0,1442.23,35.93
RedmiNote9,RedmiNote10ProBlue,0.2,20,cpu,0,1259.37,22.69
RedmiNote9,RedmiNote10ProPink,0.2,20,cpu,0,1052.5,20.2
RedmiNote9,RedmiNote9,0.2,30,cpu,0,1459.01,33.77
RedmiNote9,RedmiNote10ProBlue,0.2,30,cpu,0,1283.31,21.46
RedmiNote9,RedmiNote10ProPink,0.2,30,cpu,0,1068.61,18.82
RedmiNote9,RedmiNote9,0.2,40,cpu,0,1441.15,35.88
RedmiNote9,RedmiNote10ProBlue,0.2,40,cpu,0,1262.0,22.74
RedmiNote9,RedmiNote10ProPink,0.2,40,cpu,0,1057.54,20.29
RedmiNote9,RedmiNote9,0.2,50,cpu,0,1454.58,34.37
RedmiNote9,RedmiNote10ProBlue,0.2,50,cpu,0,1275.33,21.77
RedmiNote9,RedmiNote10ProPink,0.2,50,cpu,0,1061.31,19.14
RedmiNote9,RedmiNote9,0.3,10,cpu,0,1453.22,34.76
RedmiNote9,RedmiNote10ProBlue,0.3,10,cpu,0,1268.86,21.96
RedmiNote9,RedmiNote10ProPink,0.3,10,cpu,0,1053.97,19.29
RedmiNote9,RedmiNote9,0.3,20,cpu,0,1451.14,35.27
RedmiNote9,RedmiNote10ProBlue,0.3,20,cpu,0,1261.11,22.21
RedmiNote9,RedmiNote10ProPink,0.3,20,cpu,0,1045.71,19.52
RedmiNote9,RedmiNote9,0.3,30,cpu,0,1445.53,35.78
RedmiNote9,RedmiNote10ProBlue,0.3,30,cpu,0,1257.73,22.54
RedmiNote9,RedmiNote10ProPink,0.3,30,cpu,0,1046.66,19.95
RedmiNote9,RedmiNote9,0.3,40,cpu,0,1447.52,35.63
RedmiNote9,RedmiNote10ProBlue,0.3,40,cpu,0,1258.18,22.44
RedmiNote9,RedmiNote10ProPink,0.3,40,cpu,0,1045.48,19.81
RedmiNote9,RedmiNote9,0.3,50,cpu,0,1452.62,34.58
RedmiNote9,RedmiNote10ProBlue,0.3,50,cpu,0,1273.19,21.9
RedmiNote9,RedmiNote10ProPink,0.3,50,cpu,0,1060.13,19.29
RedmiNote9,RedmiNote9,0.4,10,cpu,0,1438.65,35.53
RedmiNote9,RedmiNote10ProBlue,0.4,10,cpu,0,1274.12,22.66
RedmiNote9,RedmiNote10ProPink,0.4,10,cpu,0,1074.01,20.36
RedmiNote9,RedmiNote9,0.4,20,cpu,0,1418.42,38.07
RedmiNote9,RedmiNote10ProBlue,0.4,20,cpu,0,1278.53,24.69
RedmiNote9,RedmiNote10ProPink,0.4,20,cpu,0,1108.86,23.03
RedmiNote9,RedmiNote9,0.4,30,cpu,0,1446.22,34.73
RedmiNote9,RedmiNote10ProBlue,0.4,30,cpu,0,1278.95,22.12
RedmiNote9,RedmiNote10ProPink,0.4,30,cpu,0,1073.03,19.69
RedmiNote9,RedmiNote9,0.4,40,cpu,0,1413.97,38.46
RedmiNote9,RedmiNote10ProBlue,0.4,40,cpu,0,1297.2,25.3
RedmiNote9,RedmiNote10ProPink,0.4,40,cpu,0,1136.91,23.86
RedmiNote9,RedmiNote9,0.4,50,cpu,0,1441.53,35.03
RedmiNote9,RedmiNote10ProBlue,0.4,50,cpu,0,1278.85,22.38
RedmiNote9,RedmiNote10ProPink,0.4,50,cpu,0,1077.71,20.06
RedmiNote9,RedmiNote9,0.5,10,cpu,0,1438.39,34.3
RedmiNote9,RedmiNote10ProBlue,0.5,10,cpu,0,1306.02,22.23
RedmiNote9,RedmiNote10ProPink,0.5,10,cpu,0,1112.34,20.17
RedmiNote9,RedmiNote9,0.5,20,cpu,0,1423.9,34.96
RedmiNote9,RedmiNote10ProBlue,0.5,20,cpu,0,1337.77,23.3
RedmiNote9,RedmiNote10ProPink,0.5,20,cpu,0,1158.05,21.64
RedmiNote9,RedmiNote9,0.5,30,cpu,0,1440.93,33.19
RedmiNote9,RedmiNote10ProBlue,0.5,30,cpu,0,1331.15,21.96
RedmiNote9,RedmiNote10ProPink,0.5,30,cpu,0,1144.63,20.07
RedmiNote9,RedmiNote9,0.5,40,cpu,0,1425.86,34.44
RedmiNote9,RedmiNote10ProBlue,0.5,40,cpu,0,1344.39,23.13
RedmiNote9,RedmiNote10ProPink,0.5,40,cpu,0,1165.78,21.47
RedmiNote9,RedmiNote9,0.5,50,cpu,0,1432.11,35.12
RedmiNote9,RedmiNote10ProBlue,0.5,50,cpu,0,1299.1,22.78
RedmiNote9,RedmiNote10ProPink,0.5,50,cpu,0,1109.78,20.79
RedmiNote9,RedmiNote9,0.6,10,cpu,0,1423.86,34.71
RedmiNote9,RedmiNote10ProBlue,0.6,10,cpu,0,1342.48,23.37
RedmiNote9,RedmiNote10ProPink,0.6,10,cpu,0,1166.22,21.72
RedmiNote9,RedmiNote9,0.6,20,cpu,0,1410.44,36.53
RedmiNote9,RedmiNote10ProBlue,0.6,20,cpu,0,1373.48,25.38
RedmiNote9,RedmiNote10ProPink,0.6,20,cpu,0,1212.97,24.04
RedmiNote9,RedmiNote9,0.6,30,cpu,0,1406.59,37.25
RedmiNote9,RedmiNote10ProBlue,0.6,30,cpu,0,1399.98,26.44
RedmiNote9,RedmiNote10ProPink,0.6,30,cpu,0,1248.3,25.27
RedmiNote9,RedmiNote9,0.6,40,cpu,0,1405.5,37.68
RedmiNote9,RedmiNote10ProBlue,0.6,40,cpu,0,1398.46,26.82
RedmiNote9,RedmiNote10ProPink,0.6,40,cpu,0,1251.42,25.69
RedmiNote9,RedmiNote9,0.6,50,cpu,0,1406.21,37.32
RedmiNote9,RedmiNote10ProBlue,0.6,50,cpu,0,1410.1,26.69
RedmiNote9,RedmiNote10ProPink,0.6,50,cpu,0,1260.33,25.56
RedmiNote9,RedmiNote9,0.7,10,cpu,0,1418.55,34.97
RedmiNote9,RedmiNote10ProBlue,0.7,10,cpu,0,1365.23,24.04
RedmiNote9,RedmiNote10ProPink,0.7,10,cpu,0,1194.64,22.53
RedmiNote9,RedmiNote9,0.7,20,cpu,0,1407.37,37.1
RedmiNote9,RedmiNote10ProBlue,0.7,20,cpu,0,1396.53,26.34
RedmiNote9,RedmiNote10ProPink,0.7,20,cpu,0,1245.21,25.17
RedmiNote9,RedmiNote9,0.7,30,cpu,0,1408.15,36.74
RedmiNote9,RedmiNote10ProBlue,0.7,30,cpu,0,1401.4,26.09
RedmiNote9,RedmiNote10ProPink,0.7,30,cpu,0,1246.65,24.89
RedmiNote9,RedmiNote9,0.7,40,cpu,0,1405.98,37.63
RedmiNote9,RedmiNote10ProBlue,0.7,40,cpu,0,1411.81,27.02
RedmiNote9,RedmiNote10ProPink,0.7,40,cpu,0,1266.67,25.97
RedmiNote9,RedmiNote9,0.7,50,cpu,0,1406.97,37.22
RedmiNote9,RedmiNote10ProBlue,0.7,50,cpu,0,1405.31,26.62
RedmiNote9,RedmiNote10ProPink,0.7,50,cpu,0,1256.05,25.49
RedmiNote9,RedmiNote9,0.8,10,cpu,0,1414.55,35.46
RedmiNote9,RedmiNote10ProBlue,0.8,10,cpu,0,1375.46,24.58
RedmiNote9,RedmiNote10ProPink,0.8,10,cpu,0,1207.46,23.13
RedmiNote9,RedmiNote9,0.8,20,cpu,0,1406.06,37.98
RedmiNote9,RedmiNote10ProBlue,0.8,20,cpu,0,1393.01,26.77
RedmiNote9,RedmiNote10ProPink,0.8,20,cpu,0,1244.72,25.66
RedmiNote9,RedmiNote9,0.8,30,cpu,0,1407.1,37.43
RedmiNote9,RedmiNote10ProBlue,0.8,30,cpu,0,1393.29,26.38
RedmiNote9,RedmiNote10ProPink,0.8,30,cpu,0,1240.94,25.21
