train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,cpu,1,1230.86,29.7
RedmiNote9,RedmiNote10ProBlue,0.1,10,cpu,1,1030.48,18.75
RedmiNote9,RedmiNote10ProPink,0.1,10,cpu,1,853.73,15.72
RedmiNote9,RedmiNote9,0.1,20,cpu,1,1190.95,28.2
RedmiNote9,RedmiNote10ProBlue,0.1,20,cpu,1,1086.53,19.19
RedmiNote9,RedmiNote10ProPink,0.1,20,cpu,1,922.38,16.84
RedmiNote9,RedmiNote9,0.1,30,cpu,1,1169.82,27.34
RedmiNote9,RedmiNote10ProBlue,0.1,30,cpu,1,1132.98,19.78
RedmiNote9,RedmiNote10ProPink,0.1,30,cpu,1,973.34,17.68
RedmiNote9,RedmiNote9,0.1,40,cpu,1,1156.28,26.95
RedmiNote9,RedmiNote10ProBlue,0.1,40,cpu,1,1174.69,20.42
RedmiNote9,RedmiNote10ProPink,0.1,40,cpu,1,1017.05,18.48
RedmiNote9,RedmiNote9,0.1,50,cpu,1,1149.66,26.64
RedmiNote9,RedmiNote10ProBlue,0.1,50,cpu,1,1208.28,20.91
RedmiNote9,RedmiNote10ProPink,0.1,50,cpu,1,1050.97,19.06
RedmiNote9,RedmiNote9,0.2,10,cpu,1,1200.67,29.23
RedmiNote9,RedmiNote10ProBlue,0.2,10,cpu,1,1047.99,18.91
RedmiNote9,RedmiNote10ProPink,0.2,10,cpu,1,885.96,16.37
RedmiNote9,RedmiNote9,0.2,20,cpu,1,1159.17,27.86
RedmiNote9,RedmiNote10ProBlue,0.2,20,cpu,1,1133.31,20.08
RedmiNote9,RedmiNote10ProPink,0.2,20,cpu,1,982.25,18.03
RedmiNote9,RedmiNote9,0.2,30,cpu,1,1148.97,27.67
RedmiNote9,RedmiNote10ProBlue,0.2,30,cpu,1,1169.74,20.74
RedmiNote9,RedmiNote10ProPink,0.2,30,cpu,1,1022.57,18.78
RedmiNote9,RedmiNote9,0.2,40,cpu,1,1144.41,27.64
RedmiNote9,RedmiNote10ProBlue,0.2,40,cpu,1,1192.35,21.16
RedmiNote9,RedmiNote10ProPink,0.2,40,cpu,1,1048.01,19.25
RedmiNote9,RedmiNote9,0.2,50,cpu,1,1148.95,27.64
RedmiNote9,RedmiNote10ProBlue,0.2,50,cpu,1,1171.1,20.73
RedmiNote9,RedmiNote10ProPink,0.2,50,cpu,1,1023.26,18.79
RedmiNote9,RedmiNote9,0.3,10,cpu,1,1173.82,28.29
RedmiNote9,RedmiNote10ProBlue,0.3,10,cpu,1,1092.18,19.28
RedmiNote9,RedmiNote10ProPink,0.3,10,cpu,1,939.56,17.26
RedmiNote9,RedmiNote9,0.3,20,cpu,1,1146.64,27.66
RedmiNote9,RedmiNote10ProBlue,0.3,20,cpu,1,1180.5,20.78
RedmiNote9,RedmiNote10ProPink,0.3,20,cpu,1,1034.01,19.06
RedmiNote9,RedmiNote9,0.3,30,cpu,1,1145.1,27.51
RedmiNote9,RedmiNote10ProBlue,0.3,30,cpu,1,1189.4,20.89
RedmiNote9,RedmiNote10ProPink,0.3,30,cpu,1,1042.47,19.16
RedmiNote9,RedmiNote9,0.3,40,cpu,1,1142.82,27.5
RedmiNote9,RedmiNote10ProBlue,0.3,40,cpu,1,1206.51,21.21
RedmiNote9,RedmiNote10ProPink,0.3,40,cpu,1,1061.32,19.54
