train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,none,0,1311.38,30.83
RedmiNote9,RedmiNote10ProBlue,0.1,10,none,0,1033.39,17.71
RedmiNote9,RedmiNote10ProPink,0.1,10,none,0,842.56,15.23
RedmiNote9,RedmiNote9,0.1,20,none,0,1179.22,29.09
RedmiNote9,RedmiNote10ProBlue,0.1,20,none,0,818.09,15.15
RedmiNote9,RedmiNote10ProPink,0.1,20,none,0,704.79,13.83
RedmiNote9,RedmiNote9,0.1,30,none,0,1084.24,26.09
RedmiNote9,RedmiNote10ProBlue,0.1,30,none,0,742.63,13.96
RedmiNote9,RedmiNote10ProPink,0.1,30,none,0,682.34,13.64
RedmiNote9,RedmiNote9,0.1,40,none,0,1004.32,23.6
RedmiNote9,RedmiNote10ProBlue,0.1,40,none,0,727.64,13.93
RedmiNote9,RedmiNote10ProPink,0.1,40,none,0,692.26,14.18
RedmiNote9,RedmiNote9,0.1,50,none,0,951.46,22.18
RedmiNote9,RedmiNote10ProBlue,0.1,50,none,0,747.75,14.61
RedmiNote9,RedmiNote10ProPink,0.1,50,none,0,716.58,15.01
RedmiNote9,RedmiNote9,0.2,10,none,0,1205.38,31.11
RedmiNote9,RedmiNote10ProBlue,0.2,10,none,0,823.9,16.02
RedmiNote9,RedmiNote10ProPink,0.2,10,none,0,715.79,14.64
RedmiNote9,RedmiNote9,0.2,20,none,0,1032.25,25.69
RedmiNote9,RedmiNote10ProBlue,0.2,20,none,0,724.73,14.23
RedmiNote9,RedmiNote10ProPink,0.2,20,none,0,699.67,14.39
RedmiNote9,RedmiNote9,0.2,30,none,0,934.98,22.1
RedmiNote9,RedmiNote10ProBlue,0.2,30,none,0,744.92,14.73
RedmiNote9,RedmiNote10ProPink,0.2,30,none,0,722.24,15.16
RedmiNote9,RedmiNote9,0.2,40,none,0,898.3,21.57
RedmiNote9,RedmiNote10ProBlue,0.2,40,none,0,777.35,15.39
RedmiNote9,RedmiNote10ProPink,0.2,40,none,0,718.85,15.34
RedmiNote9,RedmiNote9,0.2,50,none,0,879.96,21.43
RedmiNote9,RedmiNote10ProBlue,0.2,50,none,0,811.81,15.85
RedmiNote9,RedmiNote10ProPink,0.2,50,none,0,715.35,15.29
RedmiNote9,RedmiNote9,0.3,10,none,0,1132.57,29.21
RedmiNote9,RedmiNote10ProBlue,0.3,10,none,0,752.48,14.81
RedmiNote9,RedmiNote10ProPink,0.3,10,none,0,694.15,14.34
RedmiNote9,RedmiNote9,0.3,20,none,0,949.69,22.22
RedmiNote9,RedmiNote10ProBlue,0.3,20,none,0,743.66,14.54
RedmiNote9,RedmiNote10ProPink,0.3,20,none,0,728.41,15.11
RedmiNote9,RedmiNote9,0.3,30,none,0,898.04,21.19
RedmiNote9,RedmiNote10ProBlue,0.3,30,none,0,785.13,15.27
RedmiNote9,RedmiNote10ProPink,0.3,30,none,0,721.65,15.27
RedmiNote9,RedmiNote9,0.3,40,none,0,898.83,21.29
RedmiNote9,RedmiNote10ProBlue,0.3,40,none,0,788.78,15.34
RedmiNote9,RedmiNote10ProPink,0.3,40,none,0,730.46,15.4
RedmiNote9,RedmiNote9,0.3,50,none,0,860.79,20.53
RedmiNote9,RedmiNote10ProBlue,0.3,50,none,0,852.11,15.99
RedmiNote9,RedmiNote10ProPink,0.3,50,none,0,719.83,15.15
