train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,none,1,1148.19,27.38
RedmiNote9,RedmiNote10ProBlue,0.1,10,none,1,847.64,15.53
RedmiNote9,RedmiNote10ProPink,0.1,10,none,1,745.99,14.25
RedmiNote9,RedmiNote9,0.1,20,none,1,1063.04,24.42
RedmiNote9,RedmiNote10ProBlue,0.1,20,none,1,852.39,15.5
RedmiNote9,RedmiNote10ProPink,0.1,20,none,1,776.45,15.05
RedmiNote9,RedmiNote9,0.1,30,none,1,1005.35,23.05
RedmiNote9,RedmiNote10ProBlue,0.1,30,none,1,818.69,15.48
RedmiNote9,RedmiNote10ProPink,0.1,30,none,1,769.11,15.38
RedmiNote9,RedmiNote9,0.1,40,none,1,960.64,22.18
RedmiNote9,RedmiNote10ProBlue,0.1,40,none,1,802.5,15.63
RedmiNote9,RedmiNote10ProPink,0.1,40,none,1,765.41,15.7
RedmiNote9,RedmiNote9,0.1,50,none,1,916.35,21.22
RedmiNote9,RedmiNote10ProBlue,0.1,50,none,1,812.6,15.85
RedmiNote9,RedmiNote10ProPink,0.1,50,none,1,759.2,15.76
RedmiNote9,RedmiNote9,0.2,10,none,1,1077.65,25.49
RedmiNote9,RedmiNote10ProBlue,0.2,10,none,1,802.53,14.87
RedmiNote9,RedmiNote10ProPink,0.2,10,none,1,741.66,14.51
RedmiNote9,RedmiNote9,0.2,20,none,1,965.82,22.72
RedmiNote9,RedmiNote10ProBlue,0.2,20,none,1,759.28,14.94
RedmiNote9,RedmiNote10ProPink,0.2,20,none,1,749.72,15.36
RedmiNote9,RedmiNote9,0.2,30,none,1,896.6,21.29
RedmiNote9,RedmiNote10ProBlue,0.2,30,none,1,798.3,15.57
RedmiNote9,RedmiNote10ProPink,0.2,30,none,1,753.93,15.63
RedmiNote9,RedmiNote9,0.2,40,none,1,874.55,21.02
RedmiNote9,RedmiNote10ProBlue,0.2,40,none,1,778.99,15.39
RedmiNote9,RedmiNote10ProPink,0.2,40,none,1,739.86,15.55
RedmiNote9,RedmiNote9,0.2,50,none,1,823.9,20.34
RedmiNote9,RedmiNote10ProBlue,0.2,50,none,1,821.84,15.85
RedmiNote9,RedmiNote10ProPink,0.2,50,none,1,721.79,15.31
RedmiNote9,RedmiNote9,0.3,10,none,1,1023.43,24.01
RedmiNote9,RedmiNote10ProBlue,0.3,10,none,1,823.07,15.28
RedmiNote9,RedmiNote10ProPink,0.3,10,none,1,766.9,15.09
RedmiNote9,RedmiNote9,0.3,20,none,1,908.7,21.38
RedmiNote9,RedmiNote10ProBlue,0.3,20,none,1,798.74,15.43
RedmiNote9,RedmiNote10ProPink,0.3,20,none,1,767.54,15.69
RedmiNote9,RedmiNote9,0.3,30,none,1,848.36,20.48
RedmiNote9,RedmiNote10ProBlue,0.3,30,none,1,817.32,15.71
RedmiNote9,RedmiNote10ProPink,0.3,30,none,1,748.26,15.57
RedmiNote9,RedmiNote9,0.3,40,none,1,825.77,20.12
RedmiNote9,RedmiNote10ProBlue,0.3,40,none,1,843.94,15.96
RedmiNote9,RedmiNote10ProPink,0.3,40,none,1,748.33,15.55
RedmiNote9,RedmiNote9,0.3,50,none,1,820.01,19.91
RedmiNote9,RedmiNote10ProBlue,0.3,50,none,1,863.55,16.19
RedmiNote9,RedmiNote10ProPink,0.3,50,none,1,749.65,15.54
RedmiNote9,RedmiNote9,0.4,10,none,1,970.84,22.55
RedmiNote9,RedmiNote10ProBlue,0.4,10,none,1,813.2,15.48
RedmiNote9,RedmiNote10ProPink,0.4,10,none,1,768.22,15.47
RedmiNote9,RedmiNote9,0.4,20,none,1,862.49,20.66
RedmiNote9,RedmiNote10ProBlue,0.4,20,none,1,804.06,15.67
RedmiNote9,RedmiNote10ProPink,0.4,20,none,1,734.79,15.44
RedmiNote9,RedmiNote9,0.4,30,none,1,815.42,19.87
RedmiNote9,RedmiNote10ProBlue,0.4,30,none,1,850.08,16.22
RedmiNote9,RedmiNote10ProPink,0.4,30,none,1,729.18,15.41
RedmiNote9,RedmiNote9,0.4,40,none,1,797.57,19.69
RedmiNote9,RedmiNote10ProBlue,0.4,40,none,1,877.66,16.47
RedmiNote9,RedmiNote10ProPink,0.4,40,none,1,730.31,15.34
RedmiNote9,RedmiNote9,0.4,50,none,1,845.74,20.35
RedmiNote9,RedmiNote10ProBlue,0.4,50,none,1,806.94,15.75
RedmiNote9,RedmiNote10ProPink,0.4,50,none,1,721.25,15.33
RedmiNote9,RedmiNote9,0.5,10,none,1,967.04,22.08
RedmiNote9,RedmiNote10ProBlue,0.5,10,none,1,865.06,15.93
RedmiNote9,RedmiNote10ProPink,0.5,10,none,1,801.3,15.74
RedmiNote9,RedmiNote9,0.5,20,none,1,864.05,20.39
RedmiNote9,RedmiNote10ProBlue,0.5,20,none,1,831.34,15.87
RedmiNote9,RedmiNote10ProPink,0.5,20,none,1,761.6,15.71
RedmiNote9,RedmiNote9,0.5,30,none,1,819.42,19.62
RedmiNote9,RedmiNote10ProBlue,0.5,30,none,1,860.56,16.2
RedmiNote9,RedmiNote10ProPink,0.5,30,none,1,734.93,15.35
RedmiNote9,RedmiNote9,0.5,40,none,1,817.02,19.52
RedmiNote9,RedmiNote10ProBlue,0.5,40,none,1,928.06,16.96
RedmiNote9,RedmiNote10ProPink,0.5,40,none,1,778.24,15.81
RedmiNote9,RedmiNote9,0.5,50,none,1,817.6,19.71
RedmiNote9,RedmiNote10ProBlue,0.5,50,none,1,884.52,16.42
RedmiNote9,RedmiNote10ProPink,0.5,50,none,1,744.3,15.39
RedmiNote9,RedmiNote9,0.6,10,none,1,902.79,20.99
RedmiNote9,RedmiNote10ProBlue,0.6,10,none,1,832.66,15.96
RedmiNote9,RedmiNote10ProPink,0.6,10,none,1,772.68,15.85
