train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,screen,0,1324.89,30.15
RedmiNote9,RedmiNote10ProBlue,0.1,10,screen,0,1043.33,17.52
RedmiNote9,RedmiNote10ProPink,0.1,10,screen,0,839.39,14.78
RedmiNote9,RedmiNote9,0.1,20,screen,0,1222.53,29.91
RedmiNote9,RedmiNote10ProBlue,0.1,20,screen,0,810.21,15.2
RedmiNote9,RedmiNote10ProPink,0.1,20,screen,0,662.84,13.01
RedmiNote9,RedmiNote9,0.1,30,screen,0,1170.86,29.35
RedmiNote9,RedmiNote10ProBlue,0.1,30,screen,0,690.5,13.8
RedmiNote9,RedmiNote10ProPink,0.1,30,screen,0,592.52,12.28
RedmiNote9,RedmiNote9,0.1,40,screen,0,1142.21,28.46
RedmiNote9,RedmiNote10ProBlue,0.1,40,screen,0,677.66,13.27
RedmiNote9,RedmiNote10ProPink,0.1,40,screen,0,565.39,11.84
RedmiNote9,RedmiNote9,0.1,50,screen,0,1120.62,28.41
RedmiNote9,RedmiNote10ProBlue,0.1,50,screen,0,668.19,13.16
RedmiNote9,RedmiNote10ProPink,0.1,50,screen,0,552.42,11.73
RedmiNote9,RedmiNote9,0.2,10,screen,0,1237.5,29.98
RedmiNote9,RedmiNote10ProBlue,0.2,10,screen,0,846.66,15.6
RedmiNote9,RedmiNote10ProPink,0.2,10,screen,0,685.24,13.23
RedmiNote9,RedmiNote9,0.2,20,screen,0,1156.01,29.38
RedmiNote9,RedmiNote10ProBlue,0.2,20,screen,0,658.03,13.46
RedmiNote9,RedmiNote10ProPink,0.2,20,screen,0,580.74,12.21
RedmiNote9,RedmiNote9,0.2,30,screen,0,1122.31,28.74
RedmiNote9,RedmiNote10ProBlue,0.2,30,screen,0,652.47,13.12
RedmiNote9,RedmiNote10ProPink,0.2,30,screen,0,554.15,11.84
RedmiNote9,RedmiNote9,0.2,40,screen,0,1103.62,28.5
RedmiNote9,RedmiNote10ProBlue,0.2,40,screen,0,670.67,13.26
RedmiNote9,RedmiNote10ProPink,0.2,40,screen,0,543.85,11.7
RedmiNote9,RedmiNote9,0.2,50,screen,0,1073.0,28.04
RedmiNote9,RedmiNote10ProBlue,0.2,50,screen,0,715.29,13.6
RedmiNote9,RedmiNote10ProPink,0.2,50,screen,0,541.93,11.59
RedmiNote9,RedmiNote9,0.3,10,screen,0,1192.14,29.58
RedmiNote9,RedmiNote10ProBlue,0.3,10,screen,0,727.0,14.18
RedmiNote9,RedmiNote10ProPink,0.3,10,screen,0,620.63,12.56
RedmiNote9,RedmiNote9,0.3,20,screen,0,1121.33,28.31
RedmiNote9,RedmiNote10ProBlue,0.3,20,screen,0,657.86,12.92
RedmiNote9,RedmiNote10ProPink,0.3,20,screen,0,561.08,11.81
RedmiNote9,RedmiNote9,0.3,30,screen,0,1079.58,27.6
RedmiNote9,RedmiNote10ProBlue,0.3,30,screen,0,715.39,13.34
RedmiNote9,RedmiNote10ProPink,0.3,30,screen,0,552.35,11.59
RedmiNote9,RedmiNote9,0.3,40,screen,0,1050.76,27.23
RedmiNote9,RedmiNote10ProBlue,0.3,40,screen,0,786.65,14.02
RedmiNote9,RedmiNote10ProPink,0.3,40,screen,0,573.79,11.74
RedmiNote9,RedmiNote9,0.3,50,screen,0,1091.92,27.81
RedmiNote9,RedmiNote10ProBlue,0.3,50,screen,0,696.02,13.2
RedmiNote9,RedmiNote10ProPink,0.3,50,screen,0,551.23,11.62
RedmiNote9,RedmiNote9,0.4,10,screen,0,1162.16,29.41
RedmiNote9,RedmiNote10ProBlue,0.4,10,screen,0,671.91,13.59
RedmiNote9,RedmiNote10ProPink,0.4,10,screen,0,588.33,12.28
RedmiNote9,RedmiNote9,0.4,20,screen,0,1090.41,27.88
RedmiNote9,RedmiNote10ProBlue,0.4,20,screen,0,698.34,13.3
RedmiNote9,RedmiNote10ProPink,0.4,20,screen,0,544.5,11.56
RedmiNote9,RedmiNote9,0.4,30,screen,0,1107.79,28.25
RedmiNote9,RedmiNote10ProBlue,0.4,30,screen,0,668.55,13.1
RedmiNote9,RedmiNote10ProPink,0.4,30,screen,0,548.02,11.68
RedmiNote9,RedmiNote9,0.4,40,screen,0,1065.84,27.64
RedmiNote9,RedmiNote10ProBlue,0.4,40,screen,0,738.19,13.68
