train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote9,0.1,10,screen,1,1217.35,30.06
RedmiNote9,RedmiNote10ProBlue,0.1,10,screen,1,857.41,16.2
RedmiNote9,RedmiNote10ProPink,0.1,10,screen,1,715.28,13.78
RedmiNote9,RedmiNote9,0.1,20,screen,1,1176.51,29.03
RedmiNote9,RedmiNote10ProBlue,0.1,20,screen,1,789.18,14.78
RedmiNote9,RedmiNote10ProPink,0.1,20,screen,1,667.82,13.07
RedmiNote9,RedmiNote9,0.1,30,screen,1,1145.58,28.17
RedmiNote9,RedmiNote10ProBlue,0.1,30,screen,1,802.83,14.51
RedmiNote9,RedmiNote10ProPink,0.1,30,screen,1,657.65,12.77
RedmiNote9,RedmiNote9,0.1,40,screen,1,1114.38,27.78
RedmiNote9,RedmiNote10ProBlue,0.1,40,screen,1,760.96,13.94
RedmiNote9,RedmiNote10ProPink,0.1,40,screen,1,619.31,12.32
RedmiNote9,RedmiNote9,0.1,50,screen,1,1091.18,27.32
RedmiNote9,RedmiNote10ProBlue,0.1,50,screen,1,796.4,14.14
RedmiNote9,RedmiNote10ProPink,0.1,50,screen,1,626.27,12.29
RedmiNote9,RedmiNote9,0.2,10,screen,1,1180.59,29.3
RedmiNote9,RedmiNote10ProBlue,0.2,10,screen,1,765.51,14.64
RedmiNote9,RedmiNote10ProPink,0.2,10,screen,1,661.39,13.06
RedmiNote9,RedmiNote9,0.2,20,screen,1,1117.35,28.06
RedmiNote9,RedmiNote10ProBlue,0.2,20,screen,1,747.1,13.89
RedmiNote9,RedmiNote10ProPink,0.2,20,screen,1,615.79,12.34
RedmiNote9,RedmiNote9,0.2,30,screen,1,1096.0,27.82
RedmiNote9,RedmiNote10ProBlue,0.2,30,screen,1,725.21,13.53
RedmiNote9,RedmiNote10ProPink,0.2,30,screen,1,601.76,12.17
RedmiNote9,RedmiNote9,0.2,40,screen,1,1039.46,26.89
RedmiNote9,RedmiNote10ProBlue,0.2,40,screen,1,771.94,13.77
RedmiNote9,RedmiNote10ProPink,0.2,40,screen,1,595.77,11.94
RedmiNote9,RedmiNote9,0.2,50,screen,1,1030.68,26.82
RedmiNote9,RedmiNote10ProBlue,0.2,50,screen,1,799.23,14.02
RedmiNote9,RedmiNote10ProPink,0.2,50,screen,1,610.43,12.08
RedmiNote9,RedmiNote9,0.3,10,screen,1,1148.06,28.57
RedmiNote9,RedmiNote10ProBlue,0.3,10,screen,1,772.73,14.32
RedmiNote9,RedmiNote10ProPink,0.3,10,screen,1,645.02,12.72
RedmiNote9,RedmiNote9,0.3,20,screen,1,1081.18,27.41
RedmiNote9,RedmiNote10ProBlue,0.3,20,screen,1,784.22,13.99
RedmiNote9,RedmiNote10ProPink,0.3,20,screen,1,625.64,12.31
RedmiNote9,RedmiNote9,0.3,30,screen,1,1030.56,26.81
RedmiNote9,RedmiNote10ProBlue,0.3,30,screen,1,814.77,14.15
RedmiNote9,RedmiNote10ProPink,0.3,30,screen,1,627.66,12.25
RedmiNote9,RedmiNote9,0.3,40,screen,1,1002.27,26.33
RedmiNote9,RedmiNote10ProBlue,0.3,40,screen,1,850.79,14.42
RedmiNote9,RedmiNote10ProPink,0.3,40,screen,1,640.2,12.3
RedmiNote9,RedmiNote9,0.3,50,screen,1,1011.56,26.48
RedmiNote9,RedmiNote10ProBlue,0.3,50,screen,1,823.09,14.17
RedmiNote9,RedmiNote10ProPink,0.3,50,screen,1,626.23,12.18
RedmiNote9,RedmiNote9,0.4,10,screen,1,1126.98,28.14
RedmiNote9,RedmiNote10ProBlue,0.4,10,screen,1,762.87,14.08
RedmiNote9,RedmiNote10ProPink,0.4,10,screen,1,629.1,12.49
RedmiNote9,RedmiNote9,0.4,20,screen,1,1043.26,26.83
RedmiNote9,RedmiNote10ProBlue,0.4,20,screen,1,789.06,13.93
RedmiNote9,RedmiNote10ProPink,0.4,20,screen,1,605.94,12.02
RedmiNote9,RedmiNote9,0.4,30,screen,1,1003.41,26.28
RedmiNote9,RedmiNote10ProBlue,0.4,30,screen,1,811.62,14.05
RedmiNote9,RedmiNote10ProPink,0.4,30,screen,1,606.81,11.96
RedmiNote9,RedmiNote9,0.4,40,screen,1,977.21,25.93
RedmiNote9,RedmiNote10ProBlue,0.4,40,screen,1,859.29,14.49
RedmiNote9,RedmiNote10ProPink,0.4,40,screen,1,623.08,12.07
RedmiNote9,RedmiNote9,0.4,50,screen,1,1081.77,27.35
RedmiNote9,RedmiNote10ProBlue,0.4,50,screen,1,760.17,13.76
RedmiNote9,RedmiNote10ProPink,0.4,50,screen,1,607.92,12.13
RedmiNote9,RedmiNote9,0.5,10,screen,1,1116.8,27.59
RedmiNote9,RedmiNote10ProBlue,0.5,10,screen,1,822.49,14.54
RedmiNote9,RedmiNote10ProPink,0.5,10,screen,1,647.37,12.55
RedmiNote9,RedmiNote9,0.5,20,screen,1,1051.05,26.51
RedmiNote9,RedmiNote10ProBlue,0.5,20,screen,1,841.68,14.42
RedmiNote9,RedmiNote10ProPink,0.5,20,screen,1,634.99,12.24
RedmiNote9,RedmiNote9,0.5,30,screen,1,1013.66,26.2
RedmiNote9,RedmiNote10ProBlue,0.5,30,screen,1,842.63,14.36
RedmiNote9,RedmiNote10ProPink,0.5,30,screen,1,625.21,12.11
RedmiNote9,RedmiNote9,0.5,40,screen,1,996.51,25.91
RedmiNote9,RedmiNote10ProBlue,0.5,40,screen,1,863.51,14.51
RedmiNote9,RedmiNote10ProPink,0.5,40,screen,1,635.16,12.18
RedmiNote9,RedmiNote9,0.5,50,screen,1,1107.89,27.57
RedmiNote9,RedmiNote10ProBlue,0.5,50,screen,1,801.5,14.3
RedmiNote9,RedmiNote10ProPink,0.5,50,screen,1,632.39,12.39
RedmiNote9,RedmiNote9,0.6,10,screen,1,1080.61,27.18
RedmiNote9,RedmiNote10ProBlue,0.6,10,screen,1,795.79,14.08
RedmiNote9,RedmiNote10ProPink,0.6,10,screen,1,620.67,12.2
RedmiNote9,RedmiNote9,0.6,20,screen,1,1001.55,26.2
RedmiNote9,RedmiNote10ProBlue,0.6,20,screen,1,862.33,14.52
RedmiNote9,RedmiNote10ProPink,0.6,20,screen,1,638.33,12.25
RedmiNote9,RedmiNote9,0.6,30,screen,1,977.97,25.77
RedmiNote9,RedmiNote10ProBlue,0.6,30,screen,1,911.72,14.92
RedmiNote9,RedmiNote10ProPink,0.6,30,screen,1,662.71,12.43
RedmiNote9,RedmiNote9,0.6,40,screen,1,970.64,25.68
RedmiNote9,RedmiNote10ProBlue,0.6,40,screen,1,947.03,15.26
RedmiNote9,RedmiNote10ProPink,0.6,40,screen,1,686.06,12.66
RedmiNote9,RedmiNote9,0.6,50,screen,1,967.14,25.66
RedmiNote9,RedmiNote10ProBlue,0.6,50,screen,1,938.81,15.18
RedmiNote9,RedmiNote10ProPink,0.6,50,screen,1,678.52,12.58
RedmiNote9,RedmiNote9,0.7,10,screen,1,1058.62,27.0
RedmiNote9,RedmiNote10ProBlue,0.7,10,screen,1,788.08,13.96
RedmiNote9,RedmiNote10ProPink,0.7,10,screen,1,602.37,11.99
RedmiNote9,RedmiNote9,0.7,20,screen,1,984.51,25.93
RedmiNote9,RedmiNote10ProBlue,0.7,20,screen,1,874.61,14.59
RedmiNote9,RedmiNote10ProPink,0.7,20,screen,1,636.96,12.2
RedmiNote9,RedmiNote9,0.7,30,screen,1,970.54,25.79
RedmiNote9,RedmiNote10ProBlue,0.7,30,screen,1,912.3,14.94
RedmiNote9,RedmiNote10ProPink,0.7,30,screen,1,659.73,12.42
RedmiNote9,RedmiNote9,0.7,40,screen,1,966.5,25.57
RedmiNote9,RedmiNote10ProBlue,0.7,40,screen,1,935.82,15.13
RedmiNote9,RedmiNote10ProPink,0.7,40,screen,1,677.26,12.56
RedmiNote9,RedmiNote9,0.7,50,screen,1,965.61,25.58
RedmiNote9,RedmiNote10ProBlue,0.7,50,screen,1,938.58,15.16
RedmiNote9,RedmiNote10ProPink,0.7,50,screen,1,678.55,12.58
RedmiNote9,RedmiNote9,0.8,10,screen,1,1040.6,26.91
RedmiNote9,RedmiNote10ProBlue,0.8,10,screen,1,806.79,14.14
RedmiNote9,RedmiNote10ProPink,0.8,10,screen,1,607.66,12.04
RedmiNote9,RedmiNote9,0.8,20,screen,1,983.1,25.98
RedmiNote9,RedmiNote10ProBlue,0.8,20,screen,1,925.45,15.13
RedmiNote9,RedmiNote10ProPink,0.8,20,screen,1,671.72,12.56
RedmiNote9,RedmiNote9,0.8,30,screen,1,970.59,25.83
RedmiNote9,RedmiNote10ProBlue,0.8,30,screen,1,940.99,15.25
RedmiNote9,RedmiNote10ProPink,0.8,30,screen,1,682.15,12.65
RedmiNote9,RedmiNote9,0.8,40,screen,1,969.52,25.77
RedmiNote9,RedmiNote10ProBlue,0.8,40,screen,1,938.46,15.2
RedmiNote9,RedmiNote10ProPink,0.8,40,screen,1,680.12,12.61
RedmiNote9,RedmiNote9,0.8,50,screen,1,966.71,25.65
RedmiNote9,RedmiNote10ProBlue,0.8,50,screen,1,968.45,15.49
RedmiNote9,RedmiNote10ProPink,0.8,50,screen,1,698.53,12.78
